Geo,Year,HighCarSvcCost.2024,LowCarSvcCost.2024,AveCarSvcVehicleAge,LtTrkCarSvcSubProp,AutoCarSvcSubProp
Charles City County,2024,2.16,3.73,5,0.45,0.55
Chesterfield County,2024,2.16,3.73,5,0.45,0.55
Goochland County,2024,2.16,3.73,5,0.45,0.55
Hanover County,2024,2.16,3.73,5,0.45,0.55
Henrico County,2024,2.16,3.73,5,0.45,0.55
New Kent County,2024,2.16,3.73,5,0.45,0.55
Powhatan County,2024,2.16,3.73,5,0.45,0.55
Richmond City,2024,2.16,3.73,5,0.45,0.55
Charles City County,2045,2.16,3.73,5,0.45,0.55
Chesterfield County,2045,2.16,3.73,5,0.45,0.55
Goochland County,2045,2.16,3.73,5,0.45,0.55
Hanover County,2045,2.16,3.73,5,0.45,0.55
Henrico County,2045,2.16,3.73,5,0.45,0.55
New Kent County,2045,2.16,3.73,5,0.45,0.55
Powhatan County,2045,2.16,3.73,5,0.45,0.55
Richmond City,2045,2.16,3.73,5,0.45,0.55
