Geo,Year,PropSFChargingAvail,PropMFChargingAvail,PropGQChargingAvail
Charles City County,2024,0.58,0.30,0.25
Charles City County,2045,0.58,0.30,0.25
Chesterfield County,2024,0.58,0.30,0.25
Chesterfield County,2045,0.58,0.30,0.25
Goochland County,2024,0.58,0.30,0.25
Goochland County,2045,0.58,0.30,0.25
Hanover County,2024,0.58,0.30,0.25
Hanover County,2045,0.58,0.30,0.25
Henrico County,2024,0.58,0.30,0.25
Henrico County,2045,0.58,0.30,0.25
New Kent County,2024,0.58,0.30,0.25
New Kent County,2045,0.58,0.30,0.25
Powhatan County,2024,0.58,0.30,0.25
Powhatan County,2045,0.58,0.30,0.25
Richmond City,2024,0.58,0.30,0.25
Richmond City,2045,0.58,0.30,0.25
