Geo,Year,FuelCost.2024,PowerCost.2024
Charles City County,2024,3.142,0.1493
Charles City County,2045,3.142,0.1493
Chesterfield County,2024,3.142,0.1493
Chesterfield County,2045,3.142,0.1493
Goochland County,2024,3.142,0.1493
Goochland County,2045,3.142,0.1493
Hanover County,2024,3.142,0.1493
Hanover County,2045,3.142,0.1493
Henrico County,2024,3.142,0.1493
Henrico County,2045,3.142,0.1493
New Kent County,2024,3.142,0.1493
New Kent County,2045,3.142,0.1493
Powhatan County,2024,3.142,0.1493
Powhatan County,2045,3.142,0.1493
Richmond City,2024,3.142,0.1493
Richmond City,2045,3.142,0.1493
