Geo,Year,GrpAge0to14,GrpAge15to19,GrpAge20to29,GrpAge30to54,GrpAge55to64,GrpAge65Plus
Charles City County,2024,0,0,0,0,0,0
Charles City County,2045,0,0,0,0,0,0
Chesterfield County,2024,0,459,806,92,56,150
Chesterfield County,2045,0,1,11,30,9,8
Goochland County,2024,0,3,0,13,8,2
Goochland County,2045,0,5,6,23,2,6
Hanover County,2024,0,159,0,26,0,32
Hanover County,2045,0,1,0,4,0,13
Henrico County,2024,0,27,170,154,70,0
Henrico County,2045,0,21,30,52,5,0
New Kent County,2024,0,1,6,17,6,9
New Kent County,2045,0,2,9,22,9,17
Powhatan County,2024,0,0,8,5,0,0
Powhatan County,2045,0,1116,1819,1,0,0
Richmond City,2024,0,3027,2001,347,234,228
Richmond City,2045,0,169,168,21,16,48
