Year,Geo,AveVehPerDriver
2024,Charles City County,1.327562103
2045,Charles City County,1.145611967
2024,Chesterfield County,1.039476815
2045,Chesterfield County,0.89701045
2024,Goochland County,1.097972264
2045,Goochland County,0.947488756
2024,Hanover County,1.100125206
2045,Hanover County,0.949346625
2024,Henrico County,1.078661934
2045,Henrico County,0.930825019
2024,New Kent County,1.126272433
2045,New Kent County,0.971910221
2024,Powhatan County,1.044107805
2045,Powhatan County,0.901006736
2024,Richmond City,0.915115503
2045,Richmond City,0.789693581
