Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Charles City County,2024,763,327,607,1828,1320,1782
Chesterfield County,2024,73064,26403,43479,126524,47568,60831
Goochland County,2024,3342,1515,2375,7970,4573,6635
Hanover County,2024,19605,7494,11958,35645,16505,21672
Henrico County,2024,60270,20601,40831,114750,42374,56918
New Kent County,2024,4022,1292,2667,8633,3855,4636
Powhatan County,2024,4694,1654,3210,10579,5161,6257
Richmond City,2024,34557,13777,43098,79316,26367,32244
Charles City County,2045,923,385,607,2065,1059,1989
Chesterfield County,2045,83146,29178,48202,149723,53177,94368
Goochland County,2045,3761,1571,2282,10177,5533,9787
Hanover County,2045,19941,6744,11142,40884,17033,32853
Henrico County,2045,73306,23379,50199,128267,46328,70311
New Kent County,2045,4829,1672,3182,10314,6318,7394
Powhatan County,2045,4772,1644,3575,12989,5532,9912
Richmond City,2045,39918,15817,40953,84626,46980,28961
