Geo,Year,VehOwnFlatRateFee.2024,VehOwnAdValoremTax
Charles City County,2024,32.56,0.052
Charles City County,2045,32.56,0.052
Chesterfield County,2024,32.56,0.052
Chesterfield County,2045,32.56,0.052
Goochland County,2024,32.56,0.052
Goochland County,2045,32.56,0.052
Hanover County,2024,32.56,0.052
Hanover County,2045,32.56,0.052
Henrico County,2024,32.56,0.052
Henrico County,2045,32.56,0.052
New Kent County,2024,32.56,0.04
New Kent County,2045,32.56,0.04
Powhatan County,2024,32.56,0.052
Powhatan County,2045,32.56,0.052
Richmond City,2024,32.56,0.048
Richmond City,2045,32.56,0.048
