Geo,Year,AveHhSize,Prop1PerHh
Charles City County,2024,2.255,0.351
Charles City County,2045,2.035,0.336
Chesterfield County,2024,2.67,0.23
Chesterfield County,2045,2.725,0.255
Goochland County,2024,2.425,0.225
Goochland County,2045,2.95,0.429
Hanover County,2024,2.587,0.228
Hanover County,2045,2.62,0.261
Henrico County,2024,2.416,0.303
Henrico County,2045,2.71,0.334
New Kent County,2024,2.577,0.148
New Kent County,2045,2.695,0.246
Powhatan County,2024,2.684,0.166
Powhatan County,2045,2.68,0.178
Richmond City,2024,2.044,0.43
Richmond City,2045,2.515,0.504
