Geo,Year,OwnedVehAccessTime,HighCarSvcAccessTime,LowCarSvcAccessTime
Charles City County,2024,5,15,53
Charles City County,2045,5,15,53
Chesterfield County,2024,5,14,52
Chesterfield County,2045,5,14,52
Goochland County,2024,5,8,50
Goochland County,2045,5,8,50
Hanover County,2024,5,8,27
Hanover County,2045,5,8,27
Henrico County,2024,5,7,32
Henrico County,2045,5,7,32
New Kent County,2024,5,8,25
New Kent County,2045,5,8,25
Powhatan County,2024,5,13,33
Powhatan County,2045,5,13,33
Richmond City,2024,5,6,20
Richmond City,2045,5,6,20
