Geo,Year,TotEmp,RetEmp,SvcEmp
510366001001,2024,974,0,86
510366001002,2024,134,4,12
510366002001,2024,122,12,37
510366002002,2024,259,1,30
510366003001,2024,249,9,185
510366003002,2024,127,5,36
510411001061,2024,81,5,54
510411001062,2024,36,0,31
510411001071,2024,5155,96,2915
510411001072,2024,1413,89,151
510411002061,2024,684,164,335
510411002062,2024,74,0,32
510411002063,2024,58,27,9
510411002064,2024,45,0,25
510411002065,2024,174,92,37
510411002081,2024,122,0,70
510411002082,2024,107,53,35
510411002091,2024,898,100,359
510411002092,2024,394,47,131
510411002093,2024,75,0,54
510411002094,2024,330,194,101
510411002101,2024,1504,344,758
510411002111,2024,221,30,37
510411002112,2024,36,3,25
510411002121,2024,58,16,35
510411002122,2024,83,0,75
510411002123,2024,45,0,8
510411003001,2024,2961,246,58
510411003002,2024,132,0,10
510411004031,2024,5716,16,419
510411004032,2024,4667,104,3633
510411004033,2024,6795,34,368
510411004034,2024,2183,138,186
510411004035,2024,324,0,69
510411004041,2024,369,36,100
510411004042,2024,136,45,37
510411004051,2024,36,0,34
510411004052,2024,50,16,10
510411004061,2024,460,4,281
510411004071,2024,451,67,56
510411004072,2024,193,3,99
510411004073,2024,103,39,28
510411004091,2024,1222,391,143
510411004092,2024,310,45,197
510411004093,2024,803,165,102
510411004094,2024,76,0,7
510411004095,2024,208,101,11
510411004101,2024,472,35,211
510411004102,2024,100,5,56
510411005051,2024,180,5,59
510411005052,2024,253,29,117
510411005053,2024,2891,1357,933
510411005054,2024,28,0,6
510411005055,2024,130,63,52
510411005061,2024,18,0,1
510411005062,2024,1350,107,128
510411005063,2024,103,0,50
510411005064,2024,51,12,23
510411005065,2024,29,0,9
510411005071,2024,135,0,112
510411005072,2024,37,0,31
510411005073,2024,232,0,132
510411005081,2024,87,14,58
510411005082,2024,361,25,73
510411005091,2024,75,1,48
510411005092,2024,7227,324,470
510411005093,2024,304,130,128
510411005094,2024,818,80,286
510411005101,2024,275,0,19
510411005102,2024,101,25,35
510411006001,2024,58,12,38
510411006002,2024,1093,9,1002
510411006003,2024,30,0,30
510411007011,2024,81,0,76
510411007012,2024,195,100,51
510411007013,2024,27,0,8
510411007014,2024,54,15,26
510411007021,2024,71,0,52
510411007041,2024,52,0,49
510411007042,2024,50,4,22
510411007043,2024,134,27,41
510411007051,2024,107,0,95
510411007052,2024,105,0,67
510411008041,2024,94,0,38
510411008042,2024,42,6,28
510411008043,2024,476,204,132
510411008051,2024,48,0,47
510411008052,2024,53,45,3
510411008053,2024,293,131,129
510411008054,2024,92,1,77
510411008061,2024,20,0,9
510411008062,2024,1449,214,975
510411008071,2024,213,31,35
510411008121,2024,96,7,27
510411008122,2024,59,1,49
510411008123,2024,848,80,421
510411008141,2024,213,0,180
510411008142,2024,197,4,78
510411008151,2024,59,12,31
510411008152,2024,201,0,129
510411008161,2024,8,0,4
510411008162,2024,76,0,38
510411008163,2024,28,10,11
510411008171,2024,104,57,36
510411008172,2024,14848,2,10465
510411008181,2024,233,0,32
510411008182,2024,135,5,86
510411008191,2024,279,0,82
510411008192,2024,48,0,23
510411008193,2024,209,58,132
510411008201,2024,433,46,211
510411008202,2024,2152,78,372
510411008211,2024,1465,179,961
510411008212,2024,170,0,138
510411008213,2024,41,9,8
510411008221,2024,42,0,25
510411008222,2024,230,0,124
510411008223,2024,2642,856,995
510411008231,2024,97,0,29
