Geo,Year,PropSFChargingAvail,PropMFChargingAvail,PropGQChargingAvail
Accomack County,2024,0.58,0.30,0.25
Accomack County,2045,0.58,0.30,0.25
Albemarle County,2024,0.58,0.30,0.25
Albemarle County,2045,0.58,0.30,0.25
Alexandria City,2024,0.58,0.30,0.25
Alexandria City,2045,0.58,0.30,0.25
Alleghany County,2024,0.58,0.30,0.25
Alleghany County,2045,0.58,0.30,0.25
Amelia County,2024,0.58,0.30,0.25
Amelia County,2045,0.58,0.30,0.25
Amherst County,2024,0.58,0.30,0.25
Amherst County,2045,0.58,0.30,0.25
Appomattox County,2024,0.58,0.30,0.25
Appomattox County,2045,0.58,0.30,0.25
Arlington County,2024,0.58,0.30,0.25
Arlington County,2045,0.58,0.30,0.25
Augusta County,2024,0.58,0.30,0.25
Augusta County,2045,0.58,0.30,0.25
Bath County,2024,0.58,0.30,0.25
Bath County,2045,0.58,0.30,0.25
Bedford County,2024,0.58,0.30,0.25
Bedford County,2045,0.58,0.30,0.25
Bland County,2024,0.58,0.30,0.25
Bland County,2045,0.58,0.30,0.25
Botetourt County,2024,0.58,0.30,0.25
Botetourt County,2045,0.58,0.30,0.25
Bristol City,2024,0.58,0.30,0.25
Bristol City,2045,0.58,0.30,0.25
Brunswick County,2024,0.58,0.30,0.25
Brunswick County,2045,0.58,0.30,0.25
Buchanan County,2024,0.58,0.30,0.25
Buchanan County,2045,0.58,0.30,0.25
Buckingham County,2024,0.58,0.30,0.25
Buckingham County,2045,0.58,0.30,0.25
Buena Vista City,2024,0.58,0.30,0.25
Buena Vista City,2045,0.58,0.30,0.25
Campbell County,2024,0.58,0.30,0.25
Campbell County,2045,0.58,0.30,0.25
Caroline County,2024,0.58,0.30,0.25
Caroline County,2045,0.58,0.30,0.25
Carroll County,2024,0.58,0.30,0.25
Carroll County,2045,0.58,0.30,0.25
Charles City County,2024,0.58,0.30,0.25
Charles City County,2045,0.58,0.30,0.25
Charlotte County,2024,0.58,0.30,0.25
Charlotte County,2045,0.58,0.30,0.25
Charlottesville City,2024,0.58,0.30,0.25
Charlottesville City,2045,0.58,0.30,0.25
Chesapeake City,2024,0.58,0.30,0.25
Chesapeake City,2045,0.58,0.30,0.25
Chesterfield County,2024,0.58,0.30,0.25
Chesterfield County,2045,0.58,0.30,0.25
Clarke County,2024,0.58,0.30,0.25
Clarke County,2045,0.58,0.30,0.25
Colonial Heights City,2024,0.58,0.30,0.25
Colonial Heights City,2045,0.58,0.30,0.25
Covington City,2024,0.58,0.30,0.25
Covington City,2045,0.58,0.30,0.25
Craig County,2024,0.58,0.30,0.25
Craig County,2045,0.58,0.30,0.25
Culpeper County,2024,0.58,0.30,0.25
Culpeper County,2045,0.58,0.30,0.25
Cumberland County,2024,0.58,0.30,0.25
Cumberland County,2045,0.58,0.30,0.25
Danville City,2024,0.58,0.30,0.25
Danville City,2045,0.58,0.30,0.25
Dickenson County,2024,0.58,0.30,0.25
Dickenson County,2045,0.58,0.30,0.25
Dinwiddie County,2024,0.58,0.30,0.25
Dinwiddie County,2045,0.58,0.30,0.25
Emporia City,2024,0.58,0.30,0.25
Emporia City,2045,0.58,0.30,0.25
Essex County,2024,0.58,0.30,0.25
Essex County,2045,0.58,0.30,0.25
Fairfax City,2024,0.58,0.30,0.25
Fairfax City,2045,0.58,0.30,0.25
Fairfax County,2024,0.58,0.30,0.25
Fairfax County,2045,0.58,0.30,0.25
Falls Church City,2024,0.58,0.30,0.25
Falls Church City,2045,0.58,0.30,0.25
Fauquier County,2024,0.58,0.30,0.25
Fauquier County,2045,0.58,0.30,0.25
Floyd County,2024,0.58,0.30,0.25
Floyd County,2045,0.58,0.30,0.25
Fluvanna County,2024,0.58,0.30,0.25
Fluvanna County,2045,0.58,0.30,0.25
Franklin City,2024,0.58,0.30,0.25
Franklin City,2045,0.58,0.30,0.25
Franklin County,2024,0.58,0.30,0.25
Franklin County,2045,0.58,0.30,0.25
Frederick County,2024,0.58,0.30,0.25
Frederick County,2045,0.58,0.30,0.25
Fredericksburg City,2024,0.58,0.30,0.25
Fredericksburg City,2045,0.58,0.30,0.25
Galax City,2024,0.58,0.30,0.25
Galax City,2045,0.58,0.30,0.25
Giles County,2024,0.58,0.30,0.25
Giles County,2045,0.58,0.30,0.25
Gloucester County,2024,0.58,0.30,0.25
Gloucester County,2045,0.58,0.30,0.25
Goochland County,2024,0.58,0.30,0.25
Goochland County,2045,0.58,0.30,0.25
Grayson County,2024,0.58,0.30,0.25
Grayson County,2045,0.58,0.30,0.25
Greene County,2024,0.58,0.30,0.25
Greene County,2045,0.58,0.30,0.25
Greensville County,2024,0.58,0.30,0.25
Greensville County,2045,0.58,0.30,0.25
Halifax County,2024,0.58,0.30,0.25
Halifax County,2045,0.58,0.30,0.25
Hampton City,2024,0.58,0.30,0.25
Hampton City,2045,0.58,0.30,0.25
Hanover County,2024,0.58,0.30,0.25
Hanover County,2045,0.58,0.30,0.25
Harrisonburg City,2024,0.58,0.30,0.25
Harrisonburg City,2045,0.58,0.30,0.25
Henrico County,2024,0.58,0.30,0.25
Henrico County,2045,0.58,0.30,0.25
Henry County,2024,0.58,0.30,0.25
Henry County,2045,0.58,0.30,0.25
Highland County,2024,0.58,0.30,0.25
Highland County,2045,0.58,0.30,0.25
Hopewell City,2024,0.58,0.30,0.25
Hopewell City,2045,0.58,0.30,0.25
Isle of Wight County,2024,0.58,0.30,0.25
Isle of Wight County,2045,0.58,0.30,0.25
James City County,2024,0.58,0.30,0.25
James City County,2045,0.58,0.30,0.25
King and Queen County,2024,0.58,0.30,0.25
King and Queen County,2045,0.58,0.30,0.25
King George County,2024,0.58,0.30,0.25
King George County,2045,0.58,0.30,0.25
King William County,2024,0.58,0.30,0.25
King William County,2045,0.58,0.30,0.25
Lancaster County,2024,0.58,0.30,0.25
Lancaster County,2045,0.58,0.30,0.25
Lee County,2024,0.58,0.30,0.25
Lee County,2045,0.58,0.30,0.25
Lexington City,2024,0.58,0.30,0.25
Lexington City,2045,0.58,0.30,0.25
