Geo,Year,ElectricityCI
Accomack County,2024,87.3
Albemarle County,2024,82.7
Alexandria City,2024,82.7
Alleghany County,2024,82.7
Amelia County,2024,82.7
Amherst County,2024,133
Appomattox County,2024,133
Arlington County,2024,82.7
Augusta County,2024,133
Bath County,2024,82.7
Bedford County,2024,133
Bland County,2024,133
Botetourt County,2024,133
Bristol City,2024,133
Brunswick County,2024,82.7
Buchanan County,2024,133
Buckingham County,2024,82.7
Buena Vista City,2024,82.7
Campbell County,2024,133
Caroline County,2024,82.7
Carroll County,2024,133
Charles City County,2024,82.7
Charlotte County,2024,82.7
Charlottesville City,2024,133
Chesapeake City,2024,82.7
Chesterfield County,2024,82.7
Clarke County,2024,82.7
Colonial Heights City,2024,82.7
Covington City,2024,82.7
Craig County,2024,133
Culpeper County,2024,82.7
Cumberland County,2024,82.7
Danville City,2024,133
Dickenson County,2024,133
Dinwiddie County,2024,82.7
Emporia City,2024,82.7
Essex County,2024,82.7
Fairfax City,2024,82.7
Fairfax County,2024,82.7
Falls Church City,2024,82.7
Fauquier County,2024,82.7
Floyd County,2024,133
Fluvanna County,2024,82.7
Franklin City,2024,82.7
Franklin County,2024,133
Frederick County,2024,82.7
Fredericksburg City,2024,82.7
Galax City,2024,133
Giles County,2024,133
Gloucester County,2024,82.7
Goochland County,2024,82.7
Grayson County,2024,133
Greene County,2024,82.7
Greensville County,2024,82.7
Halifax County,2024,82.7
Hampton City,2024,82.7
Hanover County,2024,82.7
Harrisonburg City,2024,82.7
Henrico County,2024,82.7
Henry County,2024,133
Highland County,2024,133
Hopewell City,2024,82.7
Isle of Wight County,2024,82.7
James City County,2024,82.7
King and Queen County,2024,82.7
King George County,2024,82.7
King William County,2024,82.7
Lancaster County,2024,82.7
Lee County,2024,124
Lexington City,2024,82.7
Loudoun County,2024,82.7
Louisa County,2024,82.7
Lunenburg County,2024,82.7
Lynchburg City,2024,133
Madison County,2024,82.7
Manassas City,2024,82.7
Manassas Park City,2024,82.7
Martinsville City,2024,133
Mathews County,2024,82.7
Mecklenburg County,2024,82.7
Middlesex County,2024,82.7
Montgomery County,2024,133
Nelson County,2024,133
New Kent County,2024,82.7
Newport News City,2024,82.7
Norfolk City,2024,82.7
Northampton County,2024,87.3
Northumberland County,2024,82.7
Norton City,2024,133
Nottoway County,2024,82.7
Orange County,2024,82.7
Page County,2024,82.7
Patrick County,2024,133
Petersburg City,2024,82.7
Pittsylvania County,2024,133
Poquoson City,2024,82.7
Portsmouth City,2024,82.7
Powhatan County,2024,82.7
Prince Edward County,2024,82.7
Prince George County,2024,82.7
Prince William County,2024,82.7
Pulaski County,2024,133
Radford City,2024,133
Rappahannock County,2024,82.7
Richmond City,2024,82.7
Richmond County,2024,82.7
Roanoke City,2024,133
Roanoke County,2024,133
Rockbridge County,2024,133
Rockingham County,2024,82.7
Russell County,2024,133
Salem City,2024,133
Scott County,2024,133
Shenandoah County,2024,82.7
Smyth County,2024,133
Southampton County,2024,82.7
Spotsylvania County,2024,82.7
Stafford County,2024,82.7
Staunton City,2024,133
Suffolk City,2024,82.7
Surry County,2024,82.7
Sussex County,2024,82.7
Tazewell County,2024,133
Virginia Beach City,2024,82.7
Warren County,2024,82.7
Washington County,2024,133
Waynesboro City,2024,133
Westmoreland County,2024,82.7
Williamsburg City,2024,82.7
Winchester City,2024,82.7
Wise County,2024,133
Wythe County,2024,133
York County,2024,82.7
Accomack County,2045,74.8
Albemarle County,2045,70.9
Alexandria City,2045,70.9
Alleghany County,2045,70.9
Amelia County,2045,70.9
Amherst County,2045,114
Appomattox County,2045,114
Arlington County,2045,70.9
Augusta County,2045,114
Bath County,2045,70.9
Bedford County,2045,114
Bland County,2045,114
Botetourt County,2045,114
Bristol City,2045,114
Brunswick County,2045,70.9
Buchanan County,2045,114
Buckingham County,2045,70.9
Buena Vista City,2045,70.9
Campbell County,2045,114
Caroline County,2045,70.9
Carroll County,2045,114
Charles City County,2045,70.9
Charlotte County,2045,70.9
Charlottesville City,2045,114
Chesapeake City,2045,70.9
Chesterfield County,2045,70.9
Clarke County,2045,70.9
Colonial Heights City,2045,70.9
Covington City,2045,70.9
Craig County,2045,114
Culpeper County,2045,70.9
Cumberland County,2045,70.9
Danville City,2045,114
Dickenson County,2045,114
Dinwiddie County,2045,70.9
Emporia City,2045,70.9
Essex County,2045,70.9
Fairfax City,2045,70.9
Fairfax County,2045,70.9
Falls Church City,2045,70.9
Fauquier County,2045,70.9
Floyd County,2045,114
Fluvanna County,2045,70.9
Franklin City,2045,70.9
Franklin County,2045,114
Frederick County,2045,70.9
Fredericksburg City,2045,70.9
Galax City,2045,114
Giles County,2045,114
Gloucester County,2045,70.9
Goochland County,2045,70.9
Grayson County,2045,114
Greene County,2045,70.9
Greensville County,2045,70.9
Halifax County,2045,70.9
Hampton City,2045,70.9
Hanover County,2045,70.9
Harrisonburg City,2045,70.9
Henrico County,2045,70.9
Henry County,2045,114
Highland County,2045,114
Hopewell City,2045,70.9
Isle of Wight County,2045,70.9
James City County,2045,70.9
King and Queen County,2045,70.9
King George County,2045,70.9
King William County,2045,70.9
Lancaster County,2045,70.9
Lee County,2045,106.3
Lexington City,2045,70.9
Loudoun County,2045,70.9
Louisa County,2045,70.9
Lunenburg County,2045,70.9
Lynchburg City,2045,114
Madison County,2045,70.9
Manassas City,2045,70.9
Manassas Park City,2045,70.9
Martinsville City,2045,114
Mathews County,2045,70.9
Mecklenburg County,2045,70.9
Middlesex County,2045,70.9
Montgomery County,2045,114
Nelson County,2045,114
New Kent County,2045,70.9
Newport News City,2045,70.9
Norfolk City,2045,70.9
Northampton County,2045,74.8
Northumberland County,2045,70.9
Norton City,2045,114
Nottoway County,2045,70.9
Orange County,2045,70.9
Page County,2045,70.9
Patrick County,2045,114
Petersburg City,2045,70.9
Pittsylvania County,2045,114
Poquoson City,2045,70.9
Portsmouth City,2045,70.9
Powhatan County,2045,70.9
Prince Edward County,2045,70.9
Prince George County,2045,70.9
Prince William County,2045,70.9
Pulaski County,2045,114
Radford City,2045,114
Rappahannock County,2045,70.9
Richmond City,2045,70.9
Richmond County,2045,70.9
Roanoke City,2045,114
Roanoke County,2045,114
Rockbridge County,2045,114
Rockingham County,2045,70.9
Russell County,2045,114
Salem City,2045,114
Scott County,2045,114
Shenandoah County,2045,70.9
Smyth County,2045,114
Southampton County,2045,70.9
Spotsylvania County,2045,70.9
Stafford County,2045,70.9
Staunton City,2045,114
Suffolk City,2045,70.9
Surry County,2045,70.9
Sussex County,2045,70.9
Tazewell County,2045,114
Virginia Beach City,2045,70.9
Warren County,2045,70.9
Washington County,2045,114
Waynesboro City,2045,114
Westmoreland County,2045,70.9
Williamsburg City,2045,70.9
Winchester City,2045,70.9
Wise County,2045,114
Wythe County,2045,114
York County,2045,70.9
