Geo,Year,FuelCost.2024,PowerCost.2024
Accomack County,2024,3.142,0.1493
Accomack County,2045,3.142,0.1493
Albemarle County,2024,3.142,0.1493
Albemarle County,2045,3.142,0.1493
Alexandria City,2024,3.142,0.1493
Alexandria City,2045,3.142,0.1493
Alleghany County,2024,3.142,0.1493
Alleghany County,2045,3.142,0.1493
Amelia County,2024,3.142,0.1493
Amelia County,2045,3.142,0.1493
Amherst County,2024,3.142,0.1493
Amherst County,2045,3.142,0.1493
Appomattox County,2024,3.142,0.1493
Appomattox County,2045,3.142,0.1493
Arlington County,2024,3.142,0.1493
Arlington County,2045,3.142,0.1493
Augusta County,2024,3.142,0.1493
Augusta County,2045,3.142,0.1493
Bath County,2024,3.142,0.1493
Bath County,2045,3.142,0.1493
Bedford County,2024,3.142,0.1493
Bedford County,2045,3.142,0.1493
Bland County,2024,3.142,0.1493
Bland County,2045,3.142,0.1493
Botetourt County,2024,3.142,0.1493
Botetourt County,2045,3.142,0.1493
Bristol City,2024,3.142,0.1493
Bristol City,2045,3.142,0.1493
Brunswick County,2024,3.142,0.1493
Brunswick County,2045,3.142,0.1493
Buchanan County,2024,3.142,0.1493
Buchanan County,2045,3.142,0.1493
Buckingham County,2024,3.142,0.1493
Buckingham County,2045,3.142,0.1493
Buena Vista City,2024,3.142,0.1493
Buena Vista City,2045,3.142,0.1493
Campbell County,2024,3.142,0.1493
Campbell County,2045,3.142,0.1493
Caroline County,2024,3.142,0.1493
Caroline County,2045,3.142,0.1493
Carroll County,2024,3.142,0.1493
Carroll County,2045,3.142,0.1493
Charles City County,2024,3.142,0.1493
Charles City County,2045,3.142,0.1493
Charlotte County,2024,3.142,0.1493
Charlotte County,2045,3.142,0.1493
Charlottesville City,2024,3.142,0.1493
Charlottesville City,2045,3.142,0.1493
Chesapeake City,2024,3.142,0.1493
Chesapeake City,2045,3.142,0.1493
Chesterfield County,2024,3.142,0.1493
Chesterfield County,2045,3.142,0.1493
Clarke County,2024,3.142,0.1493
Clarke County,2045,3.142,0.1493
Colonial Heights City,2024,3.142,0.1493
Colonial Heights City,2045,3.142,0.1493
Covington City,2024,3.142,0.1493
Covington City,2045,3.142,0.1493
Craig County,2024,3.142,0.1493
Craig County,2045,3.142,0.1493
Culpeper County,2024,3.142,0.1493
Culpeper County,2045,3.142,0.1493
Cumberland County,2024,3.142,0.1493
Cumberland County,2045,3.142,0.1493
Danville City,2024,3.142,0.1493
Danville City,2045,3.142,0.1493
Dickenson County,2024,3.142,0.1493
