Geo,Year,GrpAge0to14,GrpAge15to19,GrpAge20to29,GrpAge30to54,GrpAge55to64,GrpAge65Plus
Accomack County,2024,0,14,72,28,10,10
Accomack County,2045,0,11,58,31,8,11
Albemarle County,2024,0,3470,1821,200,43,51
Albemarle County,2045,0,2034,1975,246,46,14
Alexandria City,2024,0,0,0,0,0,0
Alexandria City,2045,0,0,0,0,0,0
Alleghany County,2024,0,6,4,8,9,6
Alleghany County,2045,0,13,4,8,7,7
Amelia County,2024,0,5,4,4,2,6
Amelia County,2045,0,5,6,9,7,9
Amherst County,2024,0,152,121,18,16,15
Amherst County,2045,0,5,3,3,2,8
Appomattox County,2024,0,0,6,11,2,25
Appomattox County,2045,0,291,287,29,24,22
Arlington County,2024,0,0,320,241,65,58
Arlington County,2045,0,0,3,11,1,33
Augusta County,2024,0,4,7,33,20,89
Augusta County,2045,0,4,6,35,15,128
Bath County,2024,0,4,0,8,9,8
Bath County,2045,0,3,5,29,14,98
Bedford County,2024,0,5,0,27,8,17
Bedford County,2045,0,4,0,8,7,8
Bland County,2024,0,0,0,0,0,0
Bland County,2045,0,4,0,29,7,25
Botetourt County,2024,0,0,0,0,0,0
Botetourt County,2045,0,0,0,0,0,0
Bristol City,2024,0,1,3,26,13,17
Bristol City,2045,0,1,2,20,9,18
Brunswick County,2024,0,1,0,0,0,0
Brunswick County,2045,0,1,0,0,1,1
Buchanan County,2024,0,6,5,7,9,2
Buchanan County,2045,0,1,1,19,10,19
Buckingham County,2024,0,0,0,6,0,0
Buckingham County,2045,0,1,0,2,0,0
Buena Vista City,2024,0,231,212,0,0,1
Buena Vista City,2045,0,234,164,0,0,1
Campbell County,2024,0,2,1,22,5,72
Campbell County,2045,0,5,3,37,6,115
Caroline County,2024,0,0,0,1,0,0
Caroline County,2045,0,0,0,10,5,119
Carroll County,2024,0,1,9,21,9,4
Carroll County,2045,0,1,9,13,15,5
Charles City County,2024,0,0,0,0,0,0
Charles City County,2045,0,0,0,0,0,0
Charlotte County,2024,0,0,3,6,0,0
Charlotte County,2045,0,1,1,1,0,0
Charlottesville City,2024,0,783,1286,84,34,16
Charlottesville City,2045,0,799,1395,104,37,23
Chesapeake City,2024,0,38,93,70,39,145
Chesapeake City,2045,0,2402,2752,396,11,49
Chesterfield County,2024,0,459,806,92,56,150
Chesterfield County,2045,0,1,11,30,9,8
Clarke County,2024,0,0,0,0,0,0
Clarke County,2045,0,0,0,0,0,0
Colonial Heights City,2024,0,6,0,3,2,0
Colonial Heights City,2045,0,8,0,3,2,0
Covington City,2024,0,5,1,4,3,0
Covington City,2045,0,4,1,4,2,0
Craig County,2024,0,0,0,0,0,0
Craig County,2045,0,0,3,7,0,1
Culpeper County,2024,0,5,25,25,6,4
Culpeper County,2045,0,876,1746,105,40,28
Cumberland County,2024,0,0,6,15,8,12
Cumberland County,2045,0,15,54,52,33,209
Danville City,2024,0,240,290,63,27,13
