Geo,Year,LtTrkProp
Accomack County,2024,0.548
Albemarle County,2024,0.501
Alleghany County,2024,0.596
Amelia County,2024,0.606
Amherst County,2024,0.57
Appomattox County,2024,0.594
Arlington County,2024,0.376
Augusta County,2024,0.589
Bath County,2024,0.651
Bedford County,2024,0.577
Bland County,2024,0.642
Botetourt County,2024,0.604
Brunswick County,2024,0.528
Buchanan County,2024,0.672
Buckingham County,2024,0.567
Campbell County,2024,0.556
Caroline County,2024,0.523
Carroll County,2024,0.585
Charles City County,2024,0.538
Charlotte County,2024,0.589
Chesterfield County,2024,0.487
Clarke County,2024,0.574
Craig County,2024,0.622
Culpeper County,2024,0.554
Cumberland County,2024,0.568
Dickenson County,2024,0.673
Dinwiddie County,2024,0.544
Essex County,2024,0.541
Fairfax County,2024,0.438
Fauquier County,2024,0.569
Floyd County,2024,0.597
Fluvanna County,2024,0.53
Franklin County,2024,0.582
Frederick County,2024,0.552
Giles County,2024,0.61
Gloucester County,2024,0.579
Goochland County,2024,0.59
Grayson County,2024,0.599
Greene County,2024,0.565
Greensville County,2024,0.507
Halifax County,2024,0.563
Hanover County,2024,0.574
Henrico County,2024,0.46
Henry County,2024,0.516
Highland County,2024,0.677
Isle of Wight County,2024,0.553
James City County,2024,0.483
King and Queen County,2024,0.58
King George County,2024,0.537
King William County,2024,0.588
Lancaster County,2024,0.541
Lee County,2024,0.627
Loudoun County,2024,0.488
Louisa County,2024,0.566
Lunenburg County,2024,0.591
Madison County,2024,0.61
Mathews County,2024,0.59
Mecklenburg County,2024,0.57
Middlesex County,2024,0.593
Montgomery County,2024,0.527
Nelson County,2024,0.576
New Kent County,2024,0.571
Northampton County,2024,0.552
Northumberland County,2024,0.578
Nottoway County,2024,0.561
Orange County,2024,0.548
Page County,2024,0.588
Patrick County,2024,0.58
Pittsylvania County,2024,0.565
Powhatan County,2024,0.597
Prince Edward County,2024,0.537
Prince George County,2024,0.536
Prince William County,2024,0.469
Pulaski County,2024,0.558
Rappahannock County,2024,0.604
Richmond County,2024,0.55
Roanoke County,2024,0.528
Rockbridge County,2024,0.604
Rockingham County,2024,0.582
Russell County,2024,0.63
Scott County,2024,0.626
Shenandoah County,2024,0.567
Smyth County,2024,0.582
Southampton County,2024,0.583
Spotsylvania County,2024,0.514
Stafford County,2024,0.506
Surry County,2024,0.547
Sussex County,2024,0.526
Tazewell County,2024,0.632
Warren County,2024,0.557
Washington County,2024,0.588
Westmoreland County,2024,0.539
Wise County,2024,0.64
Wythe County,2024,0.598
York County,2024,0.515
Alexandria City,2024,0.367
Bristol City,2024,0.498
Buena Vista City,2024,0.537
Charlottesville City,2024,0.407
Chesapeake City,2024,0.507
Colonial Heights City,2024,0.484
Covington City,2024,0.537
Danville City,2024,0.446
Emporia City,2024,0.434
Fairfax City,2024,0.418
Falls Church City,2024,0.386
Franklin City,2024,0.458
Fredericksburg City,2024,0.429
Galax City,2024,0.517
Hampton City,2024,0.423
Harrisonburg City,2024,0.446
Hopewell City,2024,0.446
Lexington City,2024,0.456
Lynchburg City,2024,0.465
Manassas City,2024,0.457
Manassas Park City,2024,0.484
Martinsville City,2024,0.426
Newport News City,2024,0.424
Norfolk City,2024,0.431
Norton City,2024,0.589
Petersburg City,2024,0.37
Poquoson City,2024,0.593
Portsmouth City,2024,0.432
Radford City,2024,0.49
Richmond City,2024,0.412
