Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Accomack County,2024,5556,2069,3146,8861,5133,8570
Albemarle County,2024,18444,10279,14208,34449,14070,23469
Alexandria City,2024,24648,5414,21921,67218,17427,20348
Alleghany County,2024,2143,862,1658,3979,2312,3905
Amelia County,2024,2101,806,1532,4001,2036,2986
Amherst County,2024,5231,2007,3440,9176,4772,6859
Appomattox County,2024,3058,898,1824,5031,2290,3509
Arlington County,2024,35719,10272,46075,92350,23715,28123
Augusta County,2024,11447,4607,8488,24218,11647,17626
Bath County,2024,629,127,344,1172,711,1117
Bedford County,2024,12606,4745,8332,23343,13048,18820
Bland County,2024,683,273,631,2157,909,1546
Botetourt County,2024,5024,1984,3191,10073,5460,8272
Bristol City,2024,2715,1083,1736,5188,2141,3986
Brunswick County,2024,1974,700,2232,5017,2379,3539
Buchanan County,2024,2622,974,2046,6168,2972,4633
Buckingham County,2024,2500,934,1752,5830,2424,3536
Buena Vista City,2024,1155,816,927,1650,805,1240
Campbell County,2024,8681,3255,6536,17036,8033,11771
Caroline County,2024,6028,1796,3669,10799,4452,5354
Carroll County,2024,4099,1482,3091,8170,4689,7626
Charles City County,2024,763,327,607,1828,1320,1782
Charlotte County,2024,2025,694,1182,3055,1870,2596
Charlottesville City,2024,6458,2804,11254,14447,4356,6118
Chesapeake City,2024,50112,16629,30339,86859,31847,36797
Chesterfield County,2024,73064,26403,43479,126524,47568,60831
Clarke County,2024,2319,973,1381,4445,2595,3503
Colonial Heights City,2024,3682,1105,2007,5982,2212,3364
Covington City,2024,1233,316,546,1688,772,1125
Craig County,2024,992,239,362,1402,946,915
Culpeper County,2024,11235,4007,5601,17317,7187,9050
Cumberland County,2024,1529,595,925,2918,1539,2312
Danville City,2024,7962,2575,5318,11803,5642,8914
Dickenson County,2024,2138,661,1391,4232,1934,3377
Dinwiddie County,2024,4688,1605,3010,9013,4460,5415
Emporia City,2024,1269,391,724,1495,660,1008
Essex County,2024,1637,602,973,3087,1748,2576
Fairfax City,2024,5333,1449,3439,8146,3141,3518
Fairfax County,2024,214814,74916,141210,401782,143180,171935
Falls Church City,2024,2886,1127,1382,5240,1810,2265
Fauquier County,2024,14181,5048,7534,23877,11134,12803
Floyd County,2024,2287,910,1525,4590,2473,3808
Fluvanna County,2024,4484,1471,3228,8810,4002,6097
Franklin City,2024,1859,496,986,2282,1093,1534
Franklin County,2024,8264,3145,5820,15214,9122,13565
Frederick County,2024,17538,5948,10422,30310,12959,17831
Fredericksburg City,2024,5278,2456,6042,8786,3011,3300
Galax City,2024,1369,388,664,1932,955,1418
Giles County,2024,2692,887,1793,5086,2517,3582
Gloucester County,2024,6530,2036,3848,12387,6458,8267
Goochland County,2024,3342,1515,2375,7970,4573,6635
Grayson County,2024,2036,660,1726,4497,2393,3975
Greene County,2024,3953,1399,2152,6686,2838,4127
Greensville County,2024,1362,723,1491,4434,1427,1838
Halifax County,2024,5436,2040,3696,8928,4913,8626
Hampton City,2024,24721,8858,21475,41765,17776,22962
Hanover County,2024,19605,7494,11958,35645,16505,21672
Harrisonburg City,2024,7552,7995,13259,13364,3811,5411
Henrico County,2024,60270,20601,40831,114750,42374,56918
Henry County,2024,7747,3033,4944,14023,7800,12433
Highland County,2024,282,53,243,545,375,798
Hopewell City,2024,4975,1179,3177,7219,2945,3464
Isle of Wight County,2024,6870,2384,3909,12366,6418,8027
James City County,2024,12883,4738,7387,22910,11233,21862
King and Queen County,2024,1059,188,647,1954,1253,1594
King George County,2024,5650,1811,3266,9405,3777,3987
King William County,2024,3478,1114,2295,5900,2677,3129
Lancaster County,2024,1215,487,882,2302,1686,4364
Lee County,2024,3227,1157,2249,7114,3089,5064
Lexington City,2024,443,1700,2330,1238,541,1273
Loudoun County,2024,93722,31943,44376,167176,48887,46894
Louisa County,2024,6521,2047,4077,12307,6624,8404
Lunenburg County,2024,1984,620,1093,3815,1711,2793
Lynchburg City,2024,12901,9768,18694,19150,7593,11391
Madison County,2024,2185,1000,1327,3962,2311,3259
Manassas City,2024,9651,3006,5881,14839,5059,4540
Manassas Park City,2024,3158,970,2611,6464,1851,1744
Martinsville City,2024,3016,1076,1527,3927,1827,2285
Mathews County,2024,1009,345,780,2133,1428,2845
Mecklenburg County,2024,4580,1577,3132,8192,4819,8216
Middlesex County,2024,1457,383,1015,2492,1796,3704
Montgomery County,2024,12436,13052,23707,26444,9504,13958
Nelson County,2024,2179,605,1386,3809,2394,4359
New Kent County,2024,4022,1292,2667,8633,3855,4636
Newport News City,2024,36128,12796,30147,57902,21327,25916
Norfolk City,2024,40586,15318,49413,72497,25342,30440
Northampton County,2024,1858,515,1056,3042,2046,3542
