Geo,Year,AutoMeanAge,LtTrkMeanAge
Accomack County,2024,9.45,9.45
Accomack County,2045,10.2,10.2
Albemarle County,2024,9.99,9.99
Albemarle County,2045,10.74,10.74
Alexandria City,2024,8.64,8.64
Alexandria City,2045,9.39,9.39
Alleghany County,2024,11.32,11.32
Alleghany County,2045,12.07,12.07
Amelia County,2024,10.43,10.43
Amelia County,2045,11.18,11.18
Amherst County,2024,10.31,10.31
Amherst County,2045,11.06,11.06
Appomattox County,2024,9.63,9.63
Appomattox County,2045,10.38,10.38
Arlington County,2024,12.02,12.02
Arlington County,2045,12.77,12.77
Augusta County,2024,11.36,11.36
Augusta County,2045,12.11,12.11
Bath County,2024,8.96,8.96
Bath County,2045,9.71,9.71
Bedford County,2024,12.46,12.46
Bedford County,2045,13.21,13.21
Bland County,2024,13.99,13.99
Bland County,2045,13.99,13.99
Botetourt County,2024,13.02,13.02
Botetourt County,2045,13.77,13.77
Bristol City,2024,13.02,13.02
Bristol City,2045,13.77,13.77
Brunswick County,2024,10.56,10.56
Brunswick County,2045,11.31,11.31
Buchanan County,2024,9.79,9.79
Buchanan County,2045,10.54,10.54
Buckingham County,2024,13.82,13.82
Buckingham County,2045,13.99,13.99
Buena Vista City,2024,12.56,12.56
Buena Vista City,2045,13.31,13.31
Campbell County,2024,13.52,13.52
Campbell County,2045,13.99,13.99
Caroline County,2024,11.9,11.9
Caroline County,2045,12.65,12.65
Carroll County,2024,12.03,12.03
Carroll County,2045,12.78,12.78
Charles City County,2024,10.52,10.52
Charles City County,2045,11.27,11.27
Charlotte County,2024,10.82,10.82
Charlotte County,2045,11.57,11.57
Charlottesville City,2024,11.03,11.03
Charlottesville City,2045,11.78,11.78
Chesapeake City,2024,12.05,12.05
Chesapeake City,2045,12.8,12.8
Chesterfield County,2024,12.46,12.46
Chesterfield County,2045,13.21,13.21
Clarke County,2024,9.09,9.09
Clarke County,2045,9.84,9.84
Colonial Heights City,2024,11.34,11.34
Colonial Heights City,2045,12.09,12.09
Covington City,2024,11.83,11.83
Covington City,2045,12.58,12.58
Craig County,2024,13.98,13.98
Craig County,2045,13.99,13.99
Culpeper County,2024,13.99,13.99
Culpeper County,2045,13.99,13.99
Cumberland County,2024,13.99,13.99
Cumberland County,2045,13.99,13.99
Danville City,2024,11.96,11.96
Danville City,2045,12.71,12.71
Dickenson County,2024,13.32,13.32
Dickenson County,2045,13.99,13.99
Dinwiddie County,2024,13.47,13.47
Dinwiddie County,2045,13.99,13.99
Emporia City,2024,11.56,11.56
Emporia City,2045,12.31,12.31
Essex County,2024,12.12,12.12
Essex County,2045,12.87,12.87
Fairfax City,2024,12.36,12.36
Fairfax City,2045,13.11,13.11
Fairfax County,2024,13.15,13.15
Fairfax County,2045,13.9,13.9
Falls Church City,2024,12.39,12.39
Falls Church City,2045,13.14,13.14
Fauquier County,2024,12.01,12.01
Fauquier County,2045,12.76,12.76
Floyd County,2024,12.03,12.03
Floyd County,2045,12.78,12.78
Fluvanna County,2024,12.46,12.46
Fluvanna County,2045,13.21,13.21
Franklin City,2024,11.32,11.32
Franklin City,2045,12.07,12.07
Franklin County,2024,12,12
Franklin County,2045,12.75,12.75
Frederick County,2024,13.99,13.99
