Geo,Year,VehOwnFlatRateFee.2024,VehOwnAdValoremTax
Accomack County,2024,32.56,0.052
Accomack County,2045,32.56,0.052
Albemarle County,2024,32.56,0.052
Albemarle County,2045,32.56,0.052
Alexandria City,2024,36.55,0.069
Alexandria City,2045,36.55,0.069
Alleghany County,2024,32.56,0.052
Alleghany County,2045,32.56,0.052
Amelia County,2024,32.56,0.052
Amelia County,2045,32.56,0.052
Amherst County,2024,32.56,0.052
Amherst County,2045,32.56,0.052
Appomattox County,2024,32.56,0.052
Appomattox County,2045,32.56,0.052
Arlington County,2024,36.55,0.052
Arlington County,2045,36.55,0.052
Augusta County,2024,32.56,0.052
Augusta County,2045,32.56,0.052
Bath County,2024,32.56,0.052
Bath County,2045,32.56,0.052
Bedford County,2024,32.56,0.052
Bedford County,2045,32.56,0.052
Bland County,2024,32.56,0.052
Bland County,2045,32.56,0.052
Botetourt County,2024,32.56,0.052
Botetourt County,2045,32.56,0.052
Bristol City,2024,32.56,0.052
Bristol City,2045,32.56,0.052
Brunswick County,2024,32.56,0.052
Brunswick County,2045,32.56,0.052
Buchanan County,2024,32.56,0.052
Buchanan County,2045,32.56,0.052
Buckingham County,2024,32.56,0.052
Buckingham County,2045,32.56,0.052
Buena Vista City,2024,32.56,0.052
Buena Vista City,2045,32.56,0.052
Campbell County,2024,32.56,0.052
Campbell County,2045,32.56,0.052
Caroline County,2024,32.56,0.052
Caroline County,2045,32.56,0.052
Carroll County,2024,32.56,0.052
Carroll County,2045,32.56,0.052
Charles City County,2024,32.56,0.052
Charles City County,2045,32.56,0.052
Charlotte County,2024,32.56,0.052
Charlotte County,2045,32.56,0.052
Charlottesville City,2024,32.56,0.052
Charlottesville City,2045,32.56,0.052
Chesapeake City,2024,32.56,0.052
Chesapeake City,2045,32.56,0.052
Chesterfield County,2024,32.56,0.052
Chesterfield County,2045,32.56,0.052
Clarke County,2024,32.56,0.052
Clarke County,2045,32.56,0.052
Colonial Heights City,2024,32.56,0.052
Colonial Heights City,2045,32.56,0.052
Covington City,2024,32.56,0.052
Covington City,2045,32.56,0.052
Craig County,2024,32.56,0.052
Craig County,2045,32.56,0.052
Culpeper County,2024,32.56,0.052
Culpeper County,2045,32.56,0.052
Cumberland County,2024,32.56,0.052
Cumberland County,2045,32.56,0.052
Danville City,2024,32.56,0.052
Danville City,2045,32.56,0.052
Dickenson County,2024,32.56,0.052
Dickenson County,2045,32.56,0.052
Dinwiddie County,2024,32.56,0.06
Dinwiddie County,2045,32.56,0.06
Emporia City,2024,32.56,0.052
Emporia City,2045,32.56,0.052
Essex County,2024,32.56,0.052
Essex County,2045,32.56,0.052
