Geo,Year,AveHhSize,Prop1PerHh
Accomack County,2024,2.216,0.356
Accomack County,2045,2.32,0.249
Albemarle County,2024,2.321,0.301
Albemarle County,2045,2.36,0.285
Alexandria City,2024,2.016,0.447
Alexandria City,2045,2.42,0.323
Alleghany County,2024,2.342,0.379
Alleghany County,2045,2.13,0.402
Amelia County,2024,2.483,0.287
Amelia County,2045,2.795,0.245
Amherst County,2024,2.347,0.313
Amherst County,2045,2.795,0.307
Appomattox County,2024,2.458,0.285
Appomattox County,2045,2.75,0.178
Arlington County,2024,2.06,0.414
Arlington County,2045,2.195,0.334
Augusta County,2024,2.447,0.258
Augusta County,2045,2.275,0.261
Bath County,2024,2.203,0.285
Bath County,2045,2.16,0.354
Bedford County,2024,2.422,0.272
Bedford County,2045,2.465,0.276
Bland County,2024,2.234,0.366
Bland County,2045,2.075,0.384
Botetourt County,2024,2.566,0.289
Botetourt County,2045,2.45,0.325
Bristol City,2024,2.293,0.424
Bristol City,2045,2.375,0.447
Brunswick County,2024,2.096,0.37
Brunswick County,2045,2.07,0.387
Buchanan County,2024,2.562,0.284
Buchanan County,2045,2.225,0.325
Buckingham County,2024,2.412,0.289
Buckingham County,2045,3.535,0.346
Buena Vista City,2024,2.297,0.297
Buena Vista City,2045,2.245,0.224
Campbell County,2024,2.51,0.288
Campbell County,2045,2.225,0.352
Caroline County,2024,2.605,0.231
Caroline County,2045,2.425,0.183
Carroll County,2024,2.28,0.318
Carroll County,2045,2.525,0.323
Charles City County,2024,2.255,0.351
Charles City County,2045,2.035,0.336
Charlotte County,2024,2.455,0.368
Charlotte County,2045,2.12,0.48
Charlottesville City,2024,2.107,0.392
Charlottesville City,2045,2.625,0.254
Chesapeake City,2024,2.643,0.231
Chesapeake City,2045,2.79,0.226
Chesterfield County,2024,2.67,0.23
Chesterfield County,2045,2.725,0.255
Clarke County,2024,2.659,0.229
Clarke County,2045,2.63,0.376
Colonial Heights City,2024,2.379,0.3
Colonial Heights City,2045,2.41,0.382
Covington City,2024,2.217,0.358
Covington City,2045,2.35,0.27
Craig County,2024,2.941,0.233
Craig County,2045,1.645,0.721
Culpeper County,2024,2.769,0.198
Culpeper County,2045,3.105,0.201
Cumberland County,2024,2.308,0.265
Cumberland County,2045,2.4,0.266
Danville City,2024,2.189,0.419
Danville City,2045,2.175,0.409
Dickenson County,2024,2.319,0.27
Dickenson County,2045,2.345,0.372
Dinwiddie County,2024,2.599,0.217
Dinwiddie County,2045,2.545,0.394
Emporia City,2024,2.419,0.31
Emporia City,2045,2.775,0.306
Essex County,2024,2.385,0.37
Essex County,2045,2.28,0.37
Fairfax City,2024,2.616,0.228
Fairfax City,2045,2.93,0.109
Fairfax County,2024,2.714,0.242
Fairfax County,2045,3.11,0.187
Falls Church City,2024,2.344,0.348
Falls Church City,2045,2.755,0.234
Fauquier County,2024,2.785,0.215
Fauquier County,2045,2.755,0.233
Floyd County,2024,2.309,0.296
Floyd County,2045,2.42,0.236
Fluvanna County,2024,2.581,0.201
Fluvanna County,2045,2.35,0.228
Franklin City,2024,2.429,0.257
Franklin City,2045,2.185,0.48
Franklin County,2024,2.384,0.255
Franklin County,2045,2.52,0.261
Frederick County,2024,2.673,0.234
Frederick County,2045,2.85,0.221
Fredericksburg City,2024,2.245,0.364
Fredericksburg City,2045,2.68,0.266
Galax City,2024,2.362,0.35
Galax City,2045,2.91,0.22
Giles County,2024,2.412,0.363
Giles County,2045,2.405,0.296
Gloucester County,2024,2.603,0.245
Gloucester County,2045,2.33,0.347
Goochland County,2024,2.425,0.225
Goochland County,2045,2.95,0.429
Grayson County,2024,2.32,0.298
Grayson County,2045,2.145,0.353
Greene County,2024,2.618,0.156
Greene County,2045,2.445,0.222
Greensville County,2024,2.751,0.263
Greensville County,2045,1.175,0.44
Halifax County,2024,2.409,0.377
Halifax County,2045,2.295,0.337
Hampton City,2024,2.289,0.349
Hampton City,2045,2.19,0.356
Hanover County,2024,2.587,0.228
Hanover County,2045,2.62,0.261
Harrisonburg City,2024,2.483,0.272
Harrisonburg City,2045,3.025,0.373
Henrico County,2024,2.416,0.303
Henrico County,2045,2.71,0.334
Henry County,2024,2.429,0.358
Henry County,2045,2.395,0.44
Highland County,2024,2.265,0.317
Highland County,2045,1.785,0.433
Hopewell City,2024,2.417,0.31
Hopewell City,2045,2.24,0.197
Isle of Wight County,2024,2.547,0.257
Isle of Wight County,2045,2.39,0.32
James City County,2024,2.499,0.247
James City County,2045,2.7,0.321
King and Queen County,2024,2.331,0.241
King and Queen County,2045,2.855,0.396
King George County,2024,2.741,0.24
King George County,2045,3.095,0.096
King William County,2024,2.516,0.246
King William County,2045,2.92,0.201
Lancaster County,2024,1.921,0.393
Lancaster County,2045,2.14,0.438
Lee County,2024,2.398,0.324
Lee County,2045,2.375,0.412
Lexington City,2024,2.022,0.368
Lexington City,2045,1.785,0.701
Loudoun County,2024,3.013,0.17
Loudoun County,2045,3.095,0.084
Louisa County,2024,2.564,0.21
Louisa County,2045,2.855,0.271
Lunenburg County,2024,2.308,0.332
Lunenburg County,2045,2.605,0.204
Lynchburg City,2024,2.356,0.305
Lynchburg City,2045,2.705,0.277
Madison County,2024,2.517,0.254
Madison County,2045,2.69,0.433
Manassas City,2024,2.993,0.231
Manassas City,2045,3.42,0.281
Manassas Park City,2024,3.115,0.282
Manassas Park City,2045,4.41,0.279
Martinsville City,2024,2.389,0.423
Martinsville City,2045,2.255,0.357
Mathews County,2024,2.207,0.321
Mathews County,2045,1.965,0.385
Mecklenburg County,2024,2.132,0.37
Mecklenburg County,2045,2.465,0.356
Middlesex County,2024,2.192,0.295
Middlesex County,2045,1.845,0.537
Montgomery County,2024,2.375,0.302
Montgomery County,2045,2.73,0.279
Nelson County,2024,2.261,0.338
Nelson County,2045,2.305,0.207
New Kent County,2024,2.577,0.148
New Kent County,2045,2.695,0.246
Newport News City,2024,2.326,0.362
Newport News City,2045,2.425,0.415
Norfolk City,2024,2.222,0.35
Norfolk City,2045,2.195,0.354
Northampton County,2024,2.21,0.327
Northampton County,2045,1.98,0.376
Northumberland County,2024,2.243,0.334
Northumberland County,2045,2.025,0.332
Norton City,2024,2.343,0.355
Norton City,2045,2.645,0.387
Nottoway County,2024,2.381,0.346
Nottoway County,2045,1.97,0.401
Orange County,2024,2.474,0.239
Orange County,2045,2.665,0.34
Page County,2024,2.457,0.324
Page County,2045,2.63,0.177
Patrick County,2024,2.198,0.305
Patrick County,2045,1.835,0.395
Petersburg City,2024,2.185,0.491
Petersburg City,2045,1.87,0.596
Pittsylvania County,2024,2.426,0.308
Pittsylvania County,2045,2.19,0.25
Poquoson City,2024,2.704,0.159
Poquoson City,2045,2.54,0.326
Portsmouth City,2024,2.345,0.327
Portsmouth City,2045,2.545,0.45
Powhatan County,2024,2.684,0.166
Powhatan County,2045,2.68,0.178
Prince Edward County,2024,2.206,0.296
Prince Edward County,2045,2.165,0.323
Prince George County,2024,2.773,0.164
Prince George County,2045,3.2,0.301
Prince William County,2024,3.079,0.195
Prince William County,2045,3.585,0.21
Pulaski County,2024,2.277,0.338
Pulaski County,2045,2.28,0.304
Radford City,2024,2.384,0.293
Radford City,2045,3.29,0.497
Rappahannock County,2024,2.584,0.249
Rappahannock County,2045,2.835,0.355
Richmond City,2024,2.044,0.43
Richmond City,2045,2.515,0.504
Richmond County,2024,2.55,0.272
Richmond County,2045,1.89,0.153
Roanoke City,2024,2.199,0.395
Roanoke City,2045,2.56,0.356
Roanoke County,2024,2.413,0.312
Roanoke County,2045,2.445,0.264
Rockbridge County,2024,2.281,0.291
Rockbridge County,2045,2.495,0.303
Rockingham County,2024,2.59,0.249
Rockingham County,2045,2.655,0.246
Russell County,2024,2.406,0.286
Russell County,2045,2.39,0.424
Salem City,2024,2.258,0.315
Salem City,2045,2.285,0.39
Scott County,2024,2.286,0.354
Scott County,2045,2.5,0.449
Shenandoah County,2024,2.499,0.296
Shenandoah County,2045,2.595,0.366
Smyth County,2024,2.282,0.32
Smyth County,2045,2.24,0.334
Southampton County,2024,2.385,0.267
Southampton County,2045,2.37,0.222
Spotsylvania County,2024,2.752,0.202
Spotsylvania County,2045,3.095,0.233
Stafford County,2024,3.068,0.179
Stafford County,2045,3.1,0.153
Staunton City,2024,2.114,0.379
Staunton City,2045,2.33,0.317
Suffolk City,2024,2.561,0.266
Suffolk City,2045,2.56,0.264
Surry County,2024,2.398,0.275
Surry County,2045,1.63,0.152
Sussex County,2024,2.465,0.336
Sussex County,2045,1.44,0.157
Tazewell County,2024,2.392,0.322
Tazewell County,2045,2.38,0.402
Virginia Beach City,2024,2.48,0.267
Virginia Beach City,2045,2.55,0.254
Warren County,2024,2.603,0.223
Warren County,2045,2.78,0.28
Washington County,2024,2.372,0.301
Washington County,2045,2.36,0.445
Waynesboro City,2024,2.295,0.386
Waynesboro City,2045,2.325,0.564
Westmoreland County,2024,2.334,0.367
