Geo,Year,HHIncomePC.2024,GQIncomePC.2024
Accomack County,2024,27436,11542
Albemarle County,2024,45783,11542
Alleghany County,2024,27257,11542
Amelia County,2024,29960,11542
Amherst County,2024,30384,11542
Appomattox County,2024,26330,11542
Arlington County,2024,71807,11542
Augusta County,2024,35243,11542
Bath County,2024,26805,11542
Bedford County,2024,33648,11542
Bland County,2024,28226,11542
Botetourt County,2024,35756,11542
Brunswick County,2024,24935,11542
Buchanan County,2024,19133,11542
Buckingham County,2024,25630,11542
Campbell County,2024,28294,11542
Caroline County,2024,35231,11542
Carroll County,2024,25246,11542
Charles City County,2024,34908,11542
Charlotte County,2024,26790,11542
Chesterfield County,2024,40240,11542
Clarke County,2024,49232,11542
Craig County,2024,28251,11542
Culpeper County,2024,37110,11542
Cumberland County,2024,24401,11542
Dickenson County,2024,20733,11542
Dinwiddie County,2024,35495,11542
Essex County,2024,27902,11542
Fairfax County,2024,60152,11542
Fauquier County,2024,50022,11542
Floyd County,2024,28904,11542
Fluvanna County,2024,39295,11542
Franklin County,2024,29730,11542
Frederick County,2024,39203,11542
Giles County,2024,29930,11542
Gloucester County,2024,35455,11542
Goochland County,2024,50893,11542
Grayson County,2024,22026,11542
Greene County,2024,34496,11542
Greensville County,2024,23305,11542
Halifax County,2024,23386,11542
Hanover County,2024,45700,11542
Henrico County,2024,38412,11542
Henry County,2024,24439,11542
Highland County,2024,31660,11542
Isle of Wight County,2024,40078,11542
James City County,2024,47739,11542
King and Queen County,2024,30683,11542
King George County,2024,44516,11542
King William County,2024,35474,11542
Lancaster County,2024,35734,11542
Lee County,2024,18721,11542
Loudoun County,2024,63342,11542
Louisa County,2024,34466,11542
Lunenburg County,2024,25055,11542
Madison County,2024,34407,11542
Mathews County,2024,38208,11542
Mecklenburg County,2024,27347,11542
Middlesex County,2024,35241,11542
Montgomery County,2024,33411,11542
Nelson County,2024,33781,11542
New Kent County,2024,46735,11542
Northampton County,2024,29123,11542
Northumberland County,2024,34446,11542
Nottoway County,2024,28596,11542
Orange County,2024,38423,11542
Page County,2024,25954,11542
Patrick County,2024,24919,11542
Pittsylvania County,2024,24722,11542
Powhatan County,2024,44397,11542
Prince Edward County,2024,25559,11542
Prince George County,2024,31789,11542
Prince William County,2024,45786,11542
Pulaski County,2024,29372,11542
Rappahannock County,2024,38689,11542
Richmond County,2024,30222,11542
Roanoke County,2024,36123,11542
Rockbridge County,2024,30712,11542
Rockingham County,2024,33711,11542
Russell County,2024,22922,11542
Scott County,2024,21659,11542
Shenandoah County,2024,29639,11542
Smyth County,2024,23002,11542
Southampton County,2024,31280,11542
Spotsylvania County,2024,41736,11542
Stafford County,2024,47786,11542
Surry County,2024,35450,11542
Sussex County,2024,28999,11542
Tazewell County,2024,21551,11542
Warren County,2024,34037,11542
Washington County,2024,29202,11542
Westmoreland County,2024,29173,11542
Wise County,2024,23000,11542
Wythe County,2024,25629,11542
York County,2024,43605,11542
Alexandria City,2024,61549,11542
Bristol City,2024,24875,11542
Buena Vista City,2024,26676,11542
Charlottesville City,2024,36807,11542
Chesapeake City,2024,37681,11542
Colonial Heights City,2024,32942,11542
Covington City,2024,21046,11542
Danville City,2024,22399,11542
Emporia City,2024,22260,11542
Fairfax City,2024,53858,11542
Falls Church City,2024,63386,11542
Franklin City,2024,25715,11542
Fredericksburg City,2024,40532,11542
Galax City,2024,18109,11542
Hampton City,2024,31113,11542
Harrisonburg City,2024,26554,11542
Hopewell City,2024,23837,11542
Lexington City,2024,44072,11542
Lynchburg City,2024,27200,11542
Manassas City,2024,39923,11542
Manassas Park City,2024,36371,11542
Martinsville City,2024,22020,11542
Newport News City,2024,31957,11542
Norfolk City,2024,30708,11542
Norton City,2024,20060,11542
Petersburg City,2024,27584,11542
Poquoson City,2024,45296,11542
Portsmouth City,2024,27298,11542
Radford City,2024,27046,11542
Richmond City,2024,33471,11542
Roanoke City,2024,27471,11542
Salem City,2024,30499,11542
Staunton City,2024,32122,11542
Suffolk City,2024,37642,11542
Virginia Beach City,2024,39229,11542
Waynesboro City,2024,27629,11542
Williamsburg City,2024,37652,11542
Winchester City,2024,29785,11542
Accomack County,2045,39309,15536
Albemarle County,2045,59433,15536
Alleghany County,2045,36412,15536
Amelia County,2045,35099,15536
Amherst County,2045,39020,15536
Appomattox County,2045,33251,15536
Arlington County,2045,101770,15536
Augusta County,2045,45858,15536
Bath County,2045,37231,15536
Bedford County,2045,45675,15536
Bland County,2045,40687,15536
Botetourt County,2045,49923,15536
Brunswick County,2045,34697,15536
Buchanan County,2045,26247,15536
Buckingham County,2045,33837,15536
Campbell County,2045,37451,15536
Caroline County,2045,47461,15536
Carroll County,2045,34230,15536
Charles City County,2045,53522,15536
Charlotte County,2045,35143,15536
Chesterfield County,2045,51885,15536
Clarke County,2045,66125,15536
Craig County,2045,42247,15536
Culpeper County,2045,46155,15536
Cumberland County,2045,31984,15536
Dickenson County,2045,29293,15536
Dinwiddie County,2045,47156,15536
Essex County,2045,36703,15536
Fairfax County,2045,85450,15536
Fauquier County,2045,65475,15536
Floyd County,2045,42058,15536
Fluvanna County,2045,45922,15536
Franklin County,2045,37315,15536
Frederick County,2045,48784,15536
Giles County,2045,36330,15536
Gloucester County,2045,44615,15536
Goochland County,2045,73851,15536
Grayson County,2045,32529,15536
Greene County,2045,46303,15536
Greensville County,2045,29616,15536
Halifax County,2045,33475,15536
Hanover County,2045,57947,15536
Henrico County,2045,50999,15536
Henry County,2045,32009,15536
Highland County,2045,43192,15536
Isle of Wight County,2045,51523,15536
James City County,2045,57095,15536
King and Queen County,2045,41553,15536
King George County,2045,58074,15536
King William County,2045,44348,15536
Lancaster County,2045,47567,15536
Lee County,2045,25081,15536
Loudoun County,2045,76160,15536
Louisa County,2045,46357,15536
Lunenburg County,2045,36182,15536
Madison County,2045,45665,15536
Mathews County,2045,52466,15536
Mecklenburg County,2045,37104,15536
Middlesex County,2045,48531,15536
Montgomery County,2045,42337,15536
Nelson County,2045,44216,15536
New Kent County,2045,59503,15536
Northampton County,2045,37110,15536
Northumberland County,2045,46644,15536
Nottoway County,2045,39450,15536
Orange County,2045,49773,15536
Page County,2045,33399,15536
Patrick County,2045,33624,15536
Pittsylvania County,2045,33019,15536
Powhatan County,2045,63094,15536
Prince Edward County,2045,36445,15536
Prince George County,2045,43154,15536
