Geo,Year,FuelTax.2024,VmtTax.2024,PevSurchgTaxProp
Accomack County,2024,0.494,0,0.575
Accomack County,2045,0.494,0,0.575
Albemarle County,2024,0.494,0,0.575
Albemarle County,2045,0.494,0,0.575
Alexandria City,2024,0.494,0,0.575
Alexandria City,2045,0.494,0,0.575
Alleghany County,2024,0.494,0,0.575
Alleghany County,2045,0.494,0,0.575
Amelia County,2024,0.494,0,0.575
Amelia County,2045,0.494,0,0.575
Amherst County,2024,0.494,0,0.575
Amherst County,2045,0.494,0,0.575
Appomattox County,2024,0.494,0,0.575
Appomattox County,2045,0.494,0,0.575
Arlington County,2024,0.494,0,0.575
Arlington County,2045,0.494,0,0.575
Augusta County,2024,0.494,0,0.575
Augusta County,2045,0.494,0,0.575
Bath County,2024,0.494,0,0.575
Bath County,2045,0.494,0,0.575
Bedford County,2024,0.494,0,0.575
Bedford County,2045,0.494,0,0.575
Bland County,2024,0.494,0,0.575
Bland County,2045,0.494,0,0.575
Botetourt County,2024,0.494,0,0.575
Botetourt County,2045,0.494,0,0.575
Bristol City,2024,0.494,0,0.575
Bristol City,2045,0.494,0,0.575
Brunswick County,2024,0.494,0,0.575
Brunswick County,2045,0.494,0,0.575
Buchanan County,2024,0.494,0,0.575
Buchanan County,2045,0.494,0,0.575
Buckingham County,2024,0.494,0,0.575
Buckingham County,2045,0.494,0,0.575
Buena Vista City,2024,0.494,0,0.575
Buena Vista City,2045,0.494,0,0.575
Campbell County,2024,0.494,0,0.575
Campbell County,2045,0.494,0,0.575
Caroline County,2024,0.494,0,0.575
Caroline County,2045,0.494,0,0.575
Carroll County,2024,0.494,0,0.575
Carroll County,2045,0.494,0,0.575
Charles City County,2024,0.494,0,0.575
Charles City County,2045,0.494,0,0.575
Charlotte County,2024,0.494,0,0.575
Charlotte County,2045,0.494,0,0.575
Charlottesville City,2024,0.494,0,0.575
Charlottesville City,2045,0.494,0,0.575
Chesapeake City,2024,0.494,0,0.575
Chesapeake City,2045,0.494,0,0.575
Chesterfield County,2024,0.494,0,0.575
Chesterfield County,2045,0.494,0,0.575
Clarke County,2024,0.494,0,0.575
Clarke County,2045,0.494,0,0.575
Colonial Heights City,2024,0.494,0,0.575
Colonial Heights City,2045,0.494,0,0.575
Covington City,2024,0.494,0,0.575
Covington City,2045,0.494,0,0.575
Craig County,2024,0.494,0,0.575
Craig County,2045,0.494,0,0.575
Culpeper County,2024,0.494,0,0.575
Culpeper County,2045,0.494,0,0.575
Cumberland County,2024,0.494,0,0.575
Cumberland County,2045,0.494,0,0.575
Danville City,2024,0.494,0,0.575
Danville City,2045,0.494,0,0.575
Dickenson County,2024,0.494,0,0.575
Dickenson County,2045,0.494,0,0.575
Dinwiddie County,2024,0.494,0,0.575
Dinwiddie County,2045,0.494,0,0.575
Emporia City,2024,0.494,0,0.575
Emporia City,2045,0.494,0,0.575
Essex County,2024,0.494,0,0.575
Essex County,2045,0.494,0,0.575
Fairfax City,2024,0.494,0,0.575
Fairfax City,2045,0.494,0,0.575
Fairfax County,2024,0.494,0,0.575
Fairfax County,2045,0.494,0,0.575
Falls Church City,2024,0.494,0,0.575
Falls Church City,2045,0.494,0,0.575
Fauquier County,2024,0.494,0,0.575
Fauquier County,2045,0.494,0,0.575
Floyd County,2024,0.494,0,0.575
Floyd County,2045,0.494,0,0.575
Fluvanna County,2024,0.494,0,0.575
Fluvanna County,2045,0.494,0,0.575
Franklin City,2024,0.494,0,0.575
Franklin City,2045,0.494,0,0.575
Franklin County,2024,0.494,0,0.575
Franklin County,2045,0.494,0,0.575
Frederick County,2024,0.494,0,0.575
Frederick County,2045,0.494,0,0.575
Fredericksburg City,2024,0.494,0,0.575
Fredericksburg City,2045,0.494,0,0.575
Galax City,2024,0.494,0,0.575
Galax City,2045,0.494,0,0.575
Giles County,2024,0.494,0,0.575
Giles County,2045,0.494,0,0.575
Gloucester County,2024,0.494,0,0.575
Gloucester County,2045,0.494,0,0.575
Goochland County,2024,0.494,0,0.575
Goochland County,2045,0.494,0,0.575
Grayson County,2024,0.494,0,0.575
Grayson County,2045,0.494,0,0.575
Greene County,2024,0.494,0,0.575
Greene County,2045,0.494,0,0.575
Greensville County,2024,0.494,0,0.575
Greensville County,2045,0.494,0,0.575
Halifax County,2024,0.494,0,0.575
Halifax County,2045,0.494,0,0.575
Hampton City,2024,0.494,0,0.575
Hampton City,2045,0.494,0,0.575
Hanover County,2024,0.494,0,0.575
Hanover County,2045,0.494,0,0.575
Harrisonburg City,2024,0.494,0,0.575
Harrisonburg City,2045,0.494,0,0.575
Henrico County,2024,0.494,0,0.575
Henrico County,2045,0.494,0,0.575
Henry County,2024,0.494,0,0.575
Henry County,2045,0.494,0,0.575
Highland County,2024,0.494,0,0.575
Highland County,2045,0.494,0,0.575
