Geo,Year,OwnedVehAccessTime,HighCarSvcAccessTime,LowCarSvcAccessTime
Accomack County,2024,5,14,46
Accomack County,2045,5,14,46
Albemarle County,2024,5,8,25
Albemarle County,2045,5,8,25
Alexandria City,2024,5,6,20
Alexandria City,2045,5,6,20
Alleghany County,2024,5,16,43
Alleghany County,2045,5,16,43
Amelia County,2024,5,12,44
Amelia County,2045,5,12,44
Amherst County,2024,5,10,30
Amherst County,2045,5,10,30
Appomattox County,2024,5,9,45
Appomattox County,2045,5,9,45
Arlington County,2024,5,6,20
Arlington County,2045,5,6,20
Augusta County,2024,5,10,33
Augusta County,2045,5,10,33
Bath County,2024,5,15,26
Bath County,2045,5,15,26
Bedford County,2024,5,9,35
Bedford County,2045,5,9,35
Bland County,2024,5,17,45
Bland County,2045,5,17,45
Botetourt County,2024,5,11,36
Botetourt County,2045,5,11,36
Bristol City,2024,5,8,25
Bristol City,2045,5,8,25
Brunswick County,2024,5,22,25
Brunswick County,2045,5,22,25
Buchanan County,2024,5,15,28
Buchanan County,2045,5,15,28
Buckingham County,2024,5,14,33
Buckingham County,2045,5,14,33
Buena Vista City,2024,5,8,21
Buena Vista City,2045,5,8,21
Campbell County,2024,5,10,33
Campbell County,2045,5,10,33
Caroline County,2024,5,13,35
Caroline County,2045,5,13,35
Carroll County,2024,5,8,16
Carroll County,2045,5,8,16
Charles City County,2024,5,15,53
Charles City County,2045,5,15,53
Charlotte County,2024,5,8,25
Charlotte County,2045,5,8,25
Charlottesville City,2024,5,6,22
Charlottesville City,2045,5,6,22
Chesapeake City,2024,5,6,25
Chesapeake City,2045,5,6,25
Chesterfield County,2024,5,14,52
Chesterfield County,2045,5,14,52
Clarke County,2024,5,8,25
Clarke County,2045,5,8,25
Colonial Heights City,2024,5,16,43
Colonial Heights City,2045,5,16,43
Covington City,2024,5,21,44
Covington City,2045,5,21,44
Craig County,2024,5,13,35
Craig County,2045,5,13,35
Culpeper County,2024,5,12,30
Culpeper County,2045,5,12,30
Cumberland County,2024,5,8,25
Cumberland County,2045,5,8,25
Danville City,2024,5,12,45
Danville City,2045,5,12,45
Dickenson County,2024,5,30,40
Dickenson County,2045,5,30,40
Dinwiddie County,2024,5,8,25
Dinwiddie County,2045,5,8,25
Emporia City,2024,5,17,45
Emporia City,2045,5,17,45
Essex County,2024,5,17,35
Essex County,2045,5,17,35
Fairfax City,2024,5,6,14
Fairfax City,2045,5,6,14
Fairfax County,2024,5,6,15
Fairfax County,2045,5,6,15
Falls Church City,2024,5,4,10
Falls Church City,2045,5,4,10
Fauquier County,2024,5,10,35
Fauquier County,2045,5,10,35
Floyd County,2024,5,12,43
Floyd County,2045,5,12,43
Fluvanna County,2024,5,10,35
Fluvanna County,2045,5,10,35
Franklin City,2024,5,7,27
Franklin City,2045,5,7,27
Franklin County,2024,5,10,35
Franklin County,2045,5,10,35
Frederick County,2024,5,15,36
Frederick County,2045,5,15,36
Fredericksburg City,2024,5,9,28
Fredericksburg City,2045,5,9,28
Galax City,2024,5,10,35
Galax City,2045,5,10,35
Giles County,2024,5,8,25
Giles County,2045,5,8,25
Gloucester County,2024,5,14,43
Gloucester County,2045,5,14,43
Goochland County,2024,5,8,50
Goochland County,2045,5,8,50
Grayson County,2024,5,10,43
Grayson County,2045,5,10,43
Greene County,2024,5,15,45
Greene County,2045,5,15,45
Greensville County,2024,5,16,41
Greensville County,2045,5,16,41
Halifax County,2024,5,6,20
Halifax County,2045,5,6,20
Hampton City,2024,5,10,18
Hampton City,2045,5,10,18
Hanover County,2024,5,8,27
Hanover County,2045,5,8,27
Harrisonburg City,2024,5,6,20
Harrisonburg City,2045,5,6,20
Henrico County,2024,5,7,32
Henrico County,2045,5,7,32
Henry County,2024,5,15,45
Henry County,2045,5,15,45
Highland County,2024,5,8,26
Highland County,2045,5,8,26
