Geo,Year,SFDU,MFDU,GQDU
510010901011,2024,1231,95,0
510010901012,2024,573,203,0
510010901021,2024,1009,96,0
510010901022,2024,1105,231,0
510010902011,2024,605,60,27
510010902012,2024,2618,12,0
510010902021,2024,669,31,0
510010902022,2024,378,49,0
510010902023,2024,354,0,0
510010903001,2024,422,0,0
510010903002,2024,364,0,0
510010903003,2024,395,37,0
510010904011,2024,456,0,26
510010904012,2024,781,21,0
510010904021,2024,950,53,0
510010904022,2024,852,48,0
510010905001,2024,285,29,0
510010905002,2024,564,66,0
510010905003,2024,383,0,0
510010906001,2024,261,0,0
510010906002,2024,590,38,0
510010906003,2024,693,180,9
510010906004,2024,757,24,0
510010907001,2024,389,80,0
510010907002,2024,472,57,0
510010907003,2024,398,0,0
510010907004,2024,409,0,0
510010907005,2024,901,49,0
510010908001,2024,525,0,16
510010908002,2024,719,24,32
510010908003,2024,393,45,10
510019801001,2024,23,0,0
510019802001,2024,1,0,0
510019901000,2024,1,0,0
510019902000,2024,1,0,0
510030101001,2024,834,37,23
510030101002,2024,507,0,73
510030101003,2024,643,0,0
510030102011,2024,912,0,5
510030102012,2024,294,506,0
510030102013,2024,581,0,0
510030102021,2024,530,0,0
510030102022,2024,774,78,7
510030103011,2024,437,425,0
510030103021,2024,352,149,0
510030103031,2024,769,158,0
510030103032,2024,349,18,0
510030103033,2024,525,331,0
510030104011,2024,885,16,0
510030104012,2024,640,10,0
510030104013,2024,561,18,0
510030104021,2024,335,61,0
510030104022,2024,480,38,0
510030104023,2024,624,0,0
510030105011,2024,338,8,0
510030105012,2024,738,330,0
510030105021,2024,60,506,0
510030105022,2024,53,601,0
510030105023,2024,114,594,0
510030106021,2024,529,526,0
510030106022,2024,240,557,0
510030106023,2024,194,371,0
510030106031,2024,363,754,71
510030106032,2024,0,413,0
510030106041,2024,386,0,0
510030106042,2024,68,374,0
510030106043,2024,894,20,0
510030107011,2024,0,985,0
510030107012,2024,115,522,0
510030107021,2024,232,126,0
510030107022,2024,99,737,0
510030107023,2024,50,576,13
510030108011,2024,48,754,0
510030108012,2024,200,379,0
510030108013,2024,123,351,0
510030108021,2024,389,211,0
510030108022,2024,27,499,0
510030109011,2024,7,700,107
510030109012,2024,9,190,634
510030109041,2024,0,21,6258
510030109042,2024,28,580,3230
510030109043,2024,1,0,0
510030110001,2024,411,0,0
510030110002,2024,275,53,2
510030110003,2024,840,20,0
510030110004,2024,770,26,0
510030110005,2024,509,0,0
510030111011,2024,496,303,0
510030111012,2024,84,254,0
510030111013,2024,129,0,0
510030111021,2024,473,225,0
510030111022,2024,562,60,0
510030111031,2024,322,58,0
510030111032,2024,205,72,0
510030111033,2024,230,112,6
510030111034,2024,143,348,0
510030111035,2024,223,176,0
510030112011,2024,515,22,12
510030112012,2024,636,35,0
510030112013,2024,729,15,121
510030112021,2024,347,0,0
510030112022,2024,425,5,0
510030112023,2024,407,66,0
510030112024,2024,348,0,0
510030113011,2024,271,192,0
510030113012,2024,510,0,0
510030113013,2024,685,0,0
510030113014,2024,181,0,0
510030113015,2024,338,0,1
510030113021,2024,0,455,0
510030113022,2024,325,31,0
510030113023,2024,15,371,0
510030113024,2024,48,934,0
