Geo,Year,TotEmp,RetEmp,SvcEmp
510010901011,2024,501,13,30
510010901012,2024,121,14,6
510010901021,2024,208,113,21
510010901022,2024,148,2,35
510010902011,2024,426,50,192
510010902012,2024,78,3,1
510010902021,2024,143,47,12
510010902022,2024,1333,11,20
510010902023,2024,146,94,11
510010903001,2024,41,0,3
510010903002,2024,59,6,42
510010903003,2024,15,5,5
510010904011,2024,45,41,4
510010904012,2024,142,46,55
510010904021,2024,238,33,186
510010904022,2024,1442,27,1041
510010905001,2024,10,2,7
510010905002,2024,349,21,98
510010905003,2024,2107,15,357
510010906001,2024,10,3,6
510010906002,2024,29,3,18
510010906003,2024,307,30,51
510010906004,2024,665,120,293
510010907001,2024,552,228,128
510010907002,2024,342,6,208
510010907003,2024,56,2,11
510010907004,2024,86,30,14
510010907005,2024,61,2,22
510010908001,2024,116,0,7
510010908002,2024,94,14,59
510010908003,2024,410,33,220
510019801001,2024,18,0,0
510019802001,2024,730,0,325
510030101001,2024,177,0,52
510030101002,2024,260,10,74
510030101003,2024,180,0,105
510030102011,2024,543,4,58
510030102012,2024,999,62,624
510030102013,2024,87,0,17
510030102021,2024,115,4,58
510030102022,2024,273,0,109
510030103011,2024,2962,381,1406
510030103021,2024,119,0,74
510030103031,2024,539,107,204
510030103032,2024,156,21,70
510030103033,2024,126,2,66
510030104011,2024,173,0,93
510030104012,2024,160,1,33
510030104013,2024,985,70,236
510030104021,2024,653,23,49
510030104022,2024,58,0,46
510030104023,2024,700,0,520
510030105011,2024,48,0,39
510030105012,2024,149,1,52
510030105021,2024,5818,475,3146
510030105022,2024,776,87,458
510030105023,2024,351,100,132
510030106021,2024,171,4,83
510030106022,2024,52,0,47
510030106023,2024,180,3,127
510030106031,2024,337,0,259
510030106032,2024,1701,200,869
510030106041,2024,914,131,246
510030106042,2024,1033,185,266
510030106043,2024,84,1,52
510030107011,2024,1974,457,535
510030107012,2024,393,0,360
510030107021,2024,1250,132,707
510030107022,2024,185,3,95
510030107023,2024,1227,52,875
510030108011,2024,78,0,27
510030108012,2024,98,0,77
510030108013,2024,268,0,243
510030108021,2024,3131,1618,553
510030108022,2024,34,0,31
510030109011,2024,811,0,361
510030109012,2024,31,0,17
510030109041,2024,14610,0,14371
510030109042,2024,538,17,231
510030109043,2024,57,0,42
510030110001,2024,410,35,74
510030110002,2024,1538,96,595
510030110003,2024,283,79,58
510030110004,2024,185,18,75
510030110005,2024,65,0,30
510030111011,2024,620,231,105
510030111012,2024,307,34,197
510030111013,2024,112,13,57
510030111021,2024,164,1,77
510030111022,2024,45,2,32
