Geo,HhPropIncQ1,HhPropIncQ2,HhPropIncQ3,HhPropIncQ4,Year
510010901011,0.315,0.37,0.257,0.058,2024
510010901012,0.346,0.333,0.208,0.113,2024
510010901021,0.298,0.306,0.304,0.092,2024
510010901022,0.697,0.113,0.106,0.084,2024
510010902011,0.324,0.525,0.139,0.012,2024
510010902012,0.249,0.273,0.372,0.106,2024
510010902021,0.674,0.294,0.02,0.012,2024
510010902022,0.627,0.071,0.227,0.075,2024
510010902023,0.137,0.233,0.41,0.22,2024
510010903001,0.615,0.191,0.177,0.017,2024
510010903002,0.699,0.176,0.125,0,2024
510010903003,0.303,0.385,0.255,0.057,2024
510010904011,0.311,0.521,0.166,0.002,2024
510010904012,0.335,0.285,0.309,0.071,2024
510010904021,0.485,0.286,0.163,0.066,2024
510010904022,0.465,0.388,0.133,0.014,2024
510010905001,0.605,0.179,0.173,0.043,2024
510010905002,0.352,0.241,0.337,0.07,2024
510010905003,0.48,0.269,0.238,0.013,2024
510010906001,0.63,0.224,0.134,0.012,2024
510010906002,0.466,0.285,0.111,0.138,2024
510010906003,0.424,0.292,0.184,0.1,2024
510010906004,0.21,0.382,0.29,0.118,2024
510010907001,0.466,0.289,0.211,0.034,2024
510010907002,0.662,0.152,0.175,0.011,2024
510010907003,0.279,0.527,0.188,0.006,2024
510010907004,0.269,0.449,0.099,0.183,2024
510010907005,0.159,0.36,0.285,0.196,2024
510010908001,0.26,0.369,0.263,0.108,2024
510010908002,0.45,0.304,0.095,0.151,2024
510010908003,0.542,0.239,0.149,0.07,2024
510019801001,0,1,0,0,2024
510019802001,0.25,0.25,0.25,0.25,2024
510019901000,0.25,0.25,0.25,0.25,2024
510019902000,0.25,0.25,0.25,0.25,2024
510030101001,0.121,0.199,0.349,0.331,2024
510030101002,0.218,0.356,0.222,0.204,2024
510030101003,0.095,0.321,0.239,0.345,2024
510030102011,0.114,0.155,0.374,0.357,2024
510030102012,0.116,0.148,0.463,0.273,2024
510030102013,0.119,0.305,0.309,0.267,2024
510030102021,0.081,0.174,0.167,0.578,2024
510030102022,0.041,0.225,0.342,0.392,2024
510030103011,0.15,0.244,0.399,0.207,2024
510030103021,0.031,0.218,0.33,0.421,2024
