Geo,Year,PropUrbanSFDU,PropUrbanMFDU,PropUrbanGQDU,PropTownSFDU,PropTownMFDU,PropTownGQDU
510010901011,2024,1.00,1.00,1.00,0.00,0.00,0.00
510010901012,2024,1.00,1.00,1.00,0.00,0.00,0.00
510010901021,2024,1.00,1.00,1.00,0.00,0.00,0.00
510010901022,2024,1.00,1.00,1.00,0.00,0.00,0.00
510010902011,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010902012,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010902021,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010902022,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010902023,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010903001,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010903002,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010903003,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010904011,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010904012,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010904021,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010904022,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010905001,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010905002,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010905003,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010906001,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010906002,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010906003,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010906004,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010907001,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010907002,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010907003,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010907004,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010907005,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010908001,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010908002,2024,0.00,0.00,0.00,0.30,1.00,1.00
510010908003,2024,0.00,0.00,0.00,0.30,1.00,1.00
510019801001,2024,0.00,0.00,0.00,0.30,1.00,1.00
510019802001,2024,0.00,0.00,0.00,0.30,1.00,1.00
510019901000,2024,0.00,0.00,0.00,0.30,1.00,1.00
510019902000,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030101001,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030101002,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030101003,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030102011,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030102012,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030102013,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030102021,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030102022,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030103011,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030103021,2024,0.00,0.00,0.00,1.00,1.00,1.00
510030103031,2024,0.00,0.00,0.00,1.00,1.00,1.00
510030103032,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030103033,2024,0.00,0.00,0.00,1.00,1.00,1.00
510030104011,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030104012,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030104013,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030104021,2024,1.00,1.00,1.00,0.00,0.00,0.00
