Geo,Year,CENSUS_R
Accomack County,2024,S
Accomack County,2045,S
Albemarle County,2024,S
Albemarle County,2045,S
Alexandria City,2024,S
Alexandria City,2045,S
Alleghany County,2024,S
Alleghany County,2045,S
Amelia County,2024,S
Amelia County,2045,S
Amherst County,2024,S
Amherst County,2045,S
Appomattox County,2024,S
Appomattox County,2045,S
Arlington County,2024,S
Arlington County,2045,S
Augusta County,2024,S
Augusta County,2045,S
Bath County,2024,S
Bath County,2045,S
Bedford County,2024,S
Bedford County,2045,S
Bland County,2024,S
Bland County,2045,S
Botetourt County,2024,S
Botetourt County,2045,S
Bristol City,2024,S
Bristol City,2045,S
Brunswick County,2024,S
Brunswick County,2045,S
Buchanan County,2024,S
Buchanan County,2045,S
Buckingham County,2024,S
Buckingham County,2045,S
Buena Vista City,2024,S
Buena Vista City,2045,S
Campbell County,2024,S
Campbell County,2045,S
Caroline County,2024,S
Caroline County,2045,S
Carroll County,2024,S
Carroll County,2045,S
Charles City County,2024,S
Charles City County,2045,S
Charlotte County,2024,S
Charlotte County,2045,S
Charlottesville City,2024,S
Charlottesville City,2045,S
Chesapeake City,2024,S
Chesapeake City,2045,S
Chesterfield County,2024,S
Chesterfield County,2045,S
Clarke County,2024,S
Clarke County,2045,S
Colonial Heights City,2024,S
Colonial Heights City,2045,S
Covington City,2024,S
Covington City,2045,S
Craig County,2024,S
Craig County,2045,S
Culpeper County,2024,S
Culpeper County,2045,S
Cumberland County,2024,S
Cumberland County,2045,S
Danville City,2024,S
Danville City,2045,S
Dickenson County,2024,S
Dickenson County,2045,S
Dinwiddie County,2024,S
Dinwiddie County,2045,S
Emporia City,2024,S
Emporia City,2045,S
Essex County,2024,S
Essex County,2045,S
Fairfax City,2024,S
Fairfax City,2045,S
Fairfax County,2024,S
Fairfax County,2045,S
Falls Church City,2024,S
Falls Church City,2045,S
Fauquier County,2024,S
Fauquier County,2045,S
Floyd County,2024,S
Floyd County,2045,S
Fluvanna County,2024,S
Fluvanna County,2045,S
Franklin City,2024,S
Franklin City,2045,S
Franklin County,2024,S
Franklin County,2045,S
