Geo,LdvFwyDvmtProp,LdvArtDvmtProp,LdvOthDvmtProp,HvyTrkFwyDvmtProp,HvyTrkArtDvmtProp,HvyTrkOthDvmtProp,BusFwyDvmtProp,BusArtDvmtProp,BusOthDvmtProp
Accomack County,0,0.764448125,0.235551875,0,0.884319415,0.115680585,0,0.890829574,0.109170426
Albemarle County,0.282972665,0.492500778,0.224526557,0.556383835,0.376295332,0.067320833,0.363891962,0.500283375,0.135824663
Alexandria City,0.487183172,0.254662387,0.258154441,0.7388314,0.162987797,0.098180803,0.357237816,0.372215322,0.270546862
Alleghany County,0.542325608,0.29000063,0.167673762,0.891185812,0.082294927,0.026519261,0.759769891,0.134201809,0.1060283
Amelia County,0,0.65654296,0.34345704,0,0.740019285,0.259980715,0,0.803862924,0.196137076
Amherst County,0,0.817291695,0.182708305,0,0.92265996,0.07734004,0,0.807493997,0.192506003
Appomattox County,0,0.729871358,0.270128642,0,0.916455185,0.083544815,0,0.978661712,0.021338288
Arlington County,0.26302091,0.542299599,0.194679491,0.423060094,0.326122308,0.250817598,0.426674773,0.213379245,0.359945982
Augusta County,0.500259466,0.340954877,0.158785657,0.926720432,0.052114727,0.021164841,0.645853391,0.239556877,0.114589732
Bath County,0,0.662376482,0.337623518,0,0.960111291,0.039888709,0,0.744755514,0.255244486
Bedford County,0,0.67408655,0.32591345,0,0.858195379,0.141804621,0,0.778710071,0.221289929
Bland County,0.752604223,0.181149182,0.066246595,0.974227823,0.020859998,0.004912179,0.919319743,0.064435998,0.016244259
Botetourt County,0.535766116,0.326244774,0.13798911,0.87933892,0.103689793,0.016971287,0.623477659,0.293978995,0.082543346
Bristol City,0.570587251,0.200829246,0.228583503,0.953636468,0.021232393,0.025131139,0.753660009,0.100206733,0.146133258
Brunswick County,0.492977475,0.314182927,0.192839598,0.679498512,0.26435764,0.056143848,0.37525023,0.409654169,0.215095601
Buchanan County,0,0.600663577,0.399336423,0,0.556697134,0.443302866,0,0.571761231,0.428238769
Buckingham County,0,0.706116601,0.293883399,0,0.875599331,0.124400669,0,0.911130592,0.088869408
Buena Vista City,0,0.57718115,0.42281885,0,0.873282073,0.126717927,0,0.796355126,0.203644874
Campbell County,0,0.627571338,0.372428662,0,0.821694189,0.178305811,0,0.680478224,0.319521776
Caroline County,0.360696295,0.486836764,0.152466941,0.783969932,0.171583779,0.044446289,0.507922098,0.282999749,0.209078153
Carroll County,0.400429523,0.472859973,0.126710504,0.858076333,0.128235136,0.013688531,0.604562169,0.363302463,0.032135368
Charles City County,0,0.599347456,0.400652544,0,0.959486608,0.040513392,0,0.787514536,0.212485464
Charlotte County,0,0.722443945,0.277556055,0,0.920984258,0.079015742,0,0.828616334,0.171383666
Charlottesville City,0.012735275,0.498294461,0.488970264,0.074822544,0.549373676,0.37580378,0.030460777,0.635837943,0.33370128
Chesapeake City,0.316585994,0.382807034,0.300606972,0.406508247,0.256319531,0.337172222,0.271385615,0.368721002,0.359893383
Chesterfield County,0.165364689,0.571976282,0.262659029,0.541033968,0.379079763,0.079886269,0.27376094,0.431362591,0.294876469
Clarke County,0,0.831674583,0.168325417,0,0.929858292,0.070141708,0,0.906516676,0.093483324
Colonial Heights City,0.541695333,0.236227775,0.222076892,0.920255832,0.046620864,0.033123304,0.62332273,0.181233041,0.195444229
Covington City,0.119675344,0.604003781,0.276320875,0.480065986,0.32130178,0.198632234,0.201079408,0.592390504,0.206530088
Craig County,0,0.642431156,0.357568844,0,0.711561857,0.288438143,0,0.656915192,0.343084808
Culpeper County,0,0.692485146,0.307514854,0,0.825005251,0.174994749,0,0.828162357,0.171837643
Cumberland County,0,0.651912682,0.348087318,0,0.581186478,0.418813522,0,0.913892696,0.086107304
Danville City,0,0.73085198,0.26914802,0,0.919520596,0.080479404,0,0.751138192,0.248861808
Dickenson County,0,0.756974693,0.243025307,0,0.571374165,0.428625835,0,0.720452951,0.279547049
Dinwiddie County,0.524450503,0.278195676,0.197353821,0.777493589,0.196195515,0.026310896,0.390998548,0.361390003,0.247611449
Emporia City,0.362272536,0.404554807,0.233172657,0.569003053,0.41395559,0.017041357,0.460967085,0.506771426,0.032261489
Essex County,0,0.721003059,0.278996941,0,0.8537063,0.1462937,0,0.775791406,0.224208594
Fairfax City,0,0.862339263,0.137660737,0,0.923804629,0.076195371,0,0.950990262,0.049009738
Fairfax County,0.296528597,0.420471075,0.283000328,0.649785603,0.200574261,0.149640136,0.360005043,0.359185863,0.280809094
Falls Church City,0,0.707737318,0.292262682,0,0.779492408,0.220507592,0,0.752612953,0.247387047
