Geo,Year,RampMeterDeployProp,IncidentMgtDeployProp,SignalCoordDeployProp,AccessMgtDeployProp,OtherFwyOpsDeployProp,OtherArtOpsDeployProp
Accomack County,2024,0,0.5,0.5,0.1,0,0
Accomack County,2045,0,0.5,0.5,0.2,0,0
Albemarle County,2024,0,0.5,0.5,0.1,0,0
Albemarle County,2045,0,0.5,0.5,0.2,0,0
Alexandria City,2024,0.05,0.5,0.5,0.1,0,0
Alexandria City,2045,0.05,0.5,0.5,0.2,0,0
Alleghany County,2024,0,0.5,0.5,0.1,0,0
Alleghany County,2045,0,0.5,0.5,0.2,0,0
Amelia County,2024,0,0.5,0.5,0.1,0,0
Amelia County,2045,0,0.5,0.5,0.2,0,0
Amherst County,2024,0,0.5,0.5,0.1,0,0
Amherst County,2045,0,0.5,0.5,0.2,0,0
Appomattox County,2024,0,0.5,0.5,0.1,0,0
Appomattox County,2045,0,0.5,0.5,0.2,0,0
Arlington County,2024,0.05,0.5,0.5,0.1,0,0
Arlington County,2045,0.05,0.5,0.5,0.2,0,0
Augusta County,2024,0,0.5,0.5,0.1,0,0
Augusta County,2045,0,0.5,0.5,0.2,0,0
Bath County,2024,0,0.5,0.5,0.1,0,0
Bath County,2045,0,0.5,0.5,0.2,0,0
Bedford County,2024,0,0.5,0.5,0.1,0,0
Bedford County,2045,0,0.5,0.5,0.2,0,0
Bland County,2024,0,0.5,0.5,0.1,0,0
Bland County,2045,0,0.5,0.5,0.2,0,0
Botetourt County,2024,0,0.5,0.5,0.1,0,0
Botetourt County,2045,0,0.5,0.5,0.2,0,0
Bristol City,2024,0,0.5,0.5,0.1,0,0
Bristol City,2045,0,0.5,0.5,0.2,0,0
Brunswick County,2024,0,0.5,0.5,0.1,0,0
Brunswick County,2045,0,0.5,0.5,0.2,0,0
Buchanan County,2024,0,0.5,0.5,0.1,0,0
Buchanan County,2045,0,0.5,0.5,0.2,0,0
Buckingham County,2024,0,0.5,0.5,0.1,0,0
Buckingham County,2045,0,0.5,0.5,0.2,0,0
Buena Vista City,2024,0,0.5,0.5,0.1,0,0
Buena Vista City,2045,0,0.5,0.5,0.2,0,0
Campbell County,2024,0,0.5,0.5,0.1,0,0
Campbell County,2045,0,0.5,0.5,0.2,0,0
Caroline County,2024,0,0.5,0.5,0.1,0,0
Caroline County,2045,0,0.5,0.5,0.2,0,0
Carroll County,2024,0,0.5,0.5,0.1,0,0
Carroll County,2045,0,0.5,0.5,0.2,0,0
Charles City County,2024,0,0.5,0.5,0.1,0,0
Charles City County,2045,0,0.5,0.5,0.2,0,0
Charlotte County,2024,0,0.5,0.5,0.1,0,0
Charlotte County,2045,0,0.5,0.5,0.2,0,0
Charlottesville City,2024,0,0.5,0.5,0.1,0,0
Charlottesville City,2045,0,0.5,0.5,0.2,0,0
Chesapeake City,2024,0,0.5,0.5,0.1,0,0
Chesapeake City,2045,0,0.5,0.5,0.2,0,0
Chesterfield County,2024,0,0.5,0.5,0.1,0,0
Chesterfield County,2045,0,0.5,0.5,0.2,0,0
Clarke County,2024,0,0.5,0.5,0.1,0,0
Clarke County,2045,0,0.5,0.5,0.2,0,0
Colonial Heights City,2024,0,0.5,0.5,0.1,0,0
Colonial Heights City,2045,0,0.5,0.5,0.2,0,0
Covington City,2024,0,0.5,0.5,0.1,0,0
Covington City,2045,0,0.5,0.5,0.2,0,0
Craig County,2024,0,0.5,0.5,0.1,0,0
Craig County,2045,0,0.5,0.5,0.2,0,0
Culpeper County,2024,0,0.5,0.5,0.1,0,0
Culpeper County,2045,0,0.5,0.5,0.2,0,0
Cumberland County,2024,0,0.5,0.5,0.1,0,0
Cumberland County,2045,0,0.5,0.5,0.2,0,0
Danville City,2024,0,0.5,0.5,0.1,0,0
Danville City,2045,0,0.5,0.5,0.2,0,0
Dickenson County,2024,0,0.5,0.5,0.1,0,0
Dickenson County,2045,0,0.5,0.5,0.2,0,0
Dinwiddie County,2024,0,0.5,0.5,0.1,0,0
Dinwiddie County,2045,0,0.5,0.5,0.2,0,0
Emporia City,2024,0,0.5,0.5,0.1,0,0
Emporia City,2045,0,0.5,0.5,0.2,0,0
Essex County,2024,0,0.5,0.5,0.1,0,0
Essex County,2045,0,0.5,0.5,0.2,0,0
Fairfax City,2024,0.05,0.5,0.5,0.1,0,0
Fairfax City,2045,0.05,0.5,0.5,0.2,0,0
Fairfax County,2024,0.05,0.5,0.5,0.1,0,0
Fairfax County,2045,0.05,0.5,0.5,0.2,0,0
Falls Church City,2024,0.05,0.5,0.5,0.1,0,0
Falls Church City,2045,0.05,0.5,0.5,0.2,0,0
Fauquier County,2024,0,0.5,0.5,0.1,0,0
Fauquier County,2045,0,0.5,0.5,0.2,0,0
Floyd County,2024,0,0.5,0.5,0.1,0,0
Floyd County,2045,0,0.5,0.5,0.2,0,0
Fluvanna County,2024,0,0.5,0.5,0.1,0,0
Fluvanna County,2045,0,0.5,0.5,0.2,0,0
Franklin City,2024,0,0.5,0.5,0.1,0,0
Franklin City,2045,0,0.5,0.5,0.2,0,0
Franklin County,2024,0,0.5,0.5,0.1,0,0
Franklin County,2045,0,0.5,0.5,0.2,0,0
Frederick County,2024,0,0.5,0.5,0.1,0,0
Frederick County,2045,0,0.5,0.5,0.2,0,0
Fredericksburg City,2024,0,0.5,0.5,0.1,0,0
Fredericksburg City,2045,0,0.5,0.5,0.2,0,0
Galax City,2024,0,0.5,0.5,0.1,0,0
Galax City,2045,0,0.5,0.5,0.2,0,0
Giles County,2024,0,0.5,0.5,0.1,0,0
Giles County,2045,0,0.5,0.5,0.2,0,0
Gloucester County,2024,0,0.5,0.5,0.1,0,0
Gloucester County,2045,0,0.5,0.5,0.2,0,0
Goochland County,2024,0,0.5,0.5,0.1,0,0
Goochland County,2045,0,0.5,0.5,0.2,0,0
Grayson County,2024,0,0.5,0.5,0.1,0,0
Grayson County,2045,0,0.5,0.5,0.2,0,0
Greene County,2024,0,0.5,0.5,0.1,0,0
Greene County,2045,0,0.5,0.5,0.2,0,0
Greensville County,2024,0,0.5,0.5,0.1,0,0
Greensville County,2045,0,0.5,0.5,0.2,0,0
Halifax County,2024,0,0.5,0.5,0.1,0,0
Halifax County,2045,0,0.5,0.5,0.2,0,0
Hampton City,2024,0,0.5,0.5,0.1,0,0
Hampton City,2045,0,0.5,0.5,0.2,0,0
Hanover County,2024,0,0.5,0.5,0.1,0,0
Hanover County,2045,0,0.5,0.5,0.2,0,0
Harrisonburg City,2024,0,0.5,0.5,0.1,0,0
Harrisonburg City,2045,0,0.5,0.5,0.2,0,0
Henrico County,2024,0,0.5,0.5,0.1,0,0
Henrico County,2045,0,0.5,0.5,0.2,0,0
Henry County,2024,0,0.5,0.5,0.1,0,0
Henry County,2045,0,0.5,0.5,0.2,0,0
Highland County,2024,0,0.5,0.5,0.1,0,0
Highland County,2045,0,0.5,0.5,0.2,0,0
Hopewell City,2024,0,0.5,0.5,0.1,0,0
Hopewell City,2045,0,0.5,0.5,0.2,0,0
Isle of Wight County,2024,0,0.5,0.5,0.1,0,0
Isle of Wight County,2045,0,0.5,0.5,0.2,0,0
James City County,2024,0,0.5,0.5,0.1,0,0
James City County,2045,0,0.5,0.5,0.2,0,0
King and Queen County,2024,0,0.5,0.5,0.1,0,0
King and Queen County,2045,0,0.5,0.5,0.2,0,0
King George County,2024,0,0.5,0.5,0.1,0,0
King George County,2045,0,0.5,0.5,0.2,0,0
King William County,2024,0,0.5,0.5,0.1,0,0
King William County,2045,0,0.5,0.5,0.2,0,0
Lancaster County,2024,0,0.5,0.5,0.1,0,0
Lancaster County,2045,0,0.5,0.5,0.2,0,0
Lee County,2024,0,0.5,0.5,0.1,0,0
Lee County,2045,0,0.5,0.5,0.2,0,0
Lexington City,2024,0,0.5,0.5,0.1,0,0
Lexington City,2045,0,0.5,0.5,0.2,0,0
Loudoun County,2024,0.05,0.5,0.5,0.1,0,0
Loudoun County,2045,0.05,0.5,0.5,0.2,0,0
Louisa County,2024,0,0.5,0.5,0.1,0,0
Louisa County,2045,0,0.5,0.5,0.2,0,0
Lunenburg County,2024,0,0.5,0.5,0.1,0,0
Lunenburg County,2045,0,0.5,0.5,0.2,0,0
Lynchburg City,2024,0,0.5,0.5,0.1,0,0
Lynchburg City,2045,0,0.5,0.5,0.2,0,0
Madison County,2024,0,0.5,0.5,0.1,0,0
Madison County,2045,0,0.5,0.5,0.2,0,0
Manassas City,2024,0.05,0.5,0.5,0.1,0,0
Manassas City,2045,0.05,0.5,0.5,0.2,0,0
Manassas Park City,2024,0.05,0.5,0.5,0.1,0,0
Manassas Park City,2045,0.05,0.5,0.5,0.2,0,0
Martinsville City,2024,0,0.5,0.5,0.1,0,0
