Geo,Year,TransitEthanolPropGasoline,TransitBiodieselPropDiesel,TransitRngPropCng
Accomack County,2024,0.11,0.1,1
Accomack County,2045,0.11,0.1,1
Albemarle County,2024,0.11,0.1,1
Albemarle County,2045,0.11,0.1,1
Alexandria City,2024,0.11,0.1,1
Alexandria City,2045,0.11,0.1,1
Alleghany County,2024,0.11,0.1,1
Alleghany County,2045,0.11,0.1,1
Amelia County,2024,0.11,0.1,1
Amelia County,2045,0.11,0.1,1
Amherst County,2024,0.11,0.1,1
Amherst County,2045,0.11,0.1,1
Appomattox County,2024,0.11,0.1,1
Appomattox County,2045,0.11,0.1,1
Arlington County,2024,0.11,0.1,1
Arlington County,2045,0.11,0.65,1
Augusta County,2024,0.11,0.65,1
Augusta County,2045,0.11,0.1,1
Bath County,2024,0.11,0.1,1
Bath County,2045,0.11,0.1,1
Bedford County,2024,0.11,0.1,1
Bedford County,2045,0.11,0.1,1
Bland County,2024,0.11,0.1,1
Bland County,2045,0.11,0.1,1
Botetourt County,2024,0.11,0.1,1
Botetourt County,2045,0.11,0.1,1
Bristol City,2024,0.11,0.1,1
Bristol City,2045,0.11,0.1,1
Brunswick County,2024,0.11,0.1,1
Brunswick County,2045,0.11,0.1,1
Buchanan County,2024,0.11,0.1,1
Buchanan County,2045,0.11,0.1,1
Buckingham County,2024,0.11,0.1,1
Buckingham County,2045,0.11,0.1,1
Buena Vista City,2024,0.11,0.1,1
Buena Vista City,2045,0.11,0.1,1
Campbell County,2024,0.11,0.1,1
Campbell County,2045,0.11,0.1,1
Caroline County,2024,0.11,0.1,1
Caroline County,2045,0.11,0.1,1
Carroll County,2024,0.11,0.1,1
Carroll County,2045,0.11,0.1,1
Charles City County,2024,0.11,0.1,1
Charles City County,2045,0.11,0.1,1
Charlotte County,2024,0.11,0.1,1
Charlotte County,2045,0.11,0.1,1
Charlottesville City,2024,0.11,0.1,1
Charlottesville City,2045,0.11,0.1,1
Chesapeake City,2024,0.11,0.1,1
Chesapeake City,2045,0.11,0.1,1
Chesterfield County,2024,0.11,0.1,1
Chesterfield County,2045,0.11,0.1,1
Clarke County,2024,0.11,0.1,1
Clarke County,2045,0.11,0.1,1
Colonial Heights City,2024,0.11,0.1,1
Colonial Heights City,2045,0.11,0.1,1
Covington City,2024,0.11,0.1,1
Covington City,2045,0.11,0.1,1
Craig County,2024,0.11,0.1,1
Craig County,2045,0.11,0.1,1
Culpeper County,2024,0.11,0.1,1
Culpeper County,2045,0.11,0.1,1
Cumberland County,2024,0.11,0.1,1
Cumberland County,2045,0.11,0.1,1
Danville City,2024,0.11,0.1,1
Danville City,2045,0.11,0.1,1
Dickenson County,2024,0.11,0.1,1
Dickenson County,2045,0.11,0.1,1
Dinwiddie County,2024,0.11,0.1,1
