Geo,Year,VanPropIcev,VanPropHev,VanPropBev,BusPropIcev,BusPropHev,BusPropBev,RailPropIcev,RailPropHev,RailPropEv
Accomack County,2024,1,0,0,1,0,0,NA,NA,NA
Accomack County,2045,1,0,0,1,0,0,NA,NA,NA
Albemarle County,2024,1,0,0,1,0,0,NA,NA,NA
Albemarle County,2045,1,0,0,1,0,0,NA,NA,NA
Alexandria City,2024,1,0,0,0.380952381,0.619047619,0,1,0,0
Alexandria City,2045,1,0,0,0.380952381,0.619047619,0,1,0,0
Alleghany County,2024,1,0,0,1,0,0,NA,NA,NA
Alleghany County,2045,1,0,0,1,0,0,NA,NA,NA
Amelia County,2024,1,0,0,1,0,0,NA,NA,NA
Amelia County,2045,1,0,0,1,0,0,NA,NA,NA
Amherst County,2024,1,0,0,1,0,0,NA,NA,NA
Amherst County,2045,1,0,0,1,0,0,NA,NA,NA
Appomattox County,2024,1,0,0,1,0,0,NA,NA,NA
Appomattox County,2045,1,0,0,1,0,0,NA,NA,NA
Arlington County,2024,0.93220339,0.06779661,0,1,0,0,NA,NA,NA
Arlington County,2045,0.93220339,0.06779661,0,1,0,0,NA,NA,NA
Augusta County,2024,1,0,0,1,0,0,NA,NA,NA
Augusta County,2045,1,0,0,1,0,0,NA,NA,NA
Bath County,2024,1,0,0,1,0,0,NA,NA,NA
Bath County,2045,1,0,0,1,0,0,NA,NA,NA
Bedford County,2024,1,0,0,1,0,0,NA,NA,NA
Bedford County,2045,1,0,0,1,0,0,NA,NA,NA
Bland County,2024,1,0,0,1,0,0,NA,NA,NA
Bland County,2045,1,0,0,1,0,0,NA,NA,NA
Botetourt County,2024,1,0,0,1,0,0,NA,NA,NA
Botetourt County,2045,1,0,0,1,0,0,NA,NA,NA
Bristol City,2024,1,0,0,1,0,0,NA,NA,NA
Bristol City,2045,1,0,0,1,0,0,NA,NA,NA
Brunswick County,2024,1,0,0,1,0,0,NA,NA,NA
Brunswick County,2045,1,0,0,1,0,0,NA,NA,NA
Buchanan County,2024,1,0,0,1,0,0,NA,NA,NA
Buchanan County,2045,1,0,0,1,0,0,NA,NA,NA
Buckingham County,2024,1,0,0,1,0,0,NA,NA,NA
Buckingham County,2045,1,0,0,1,0,0,NA,NA,NA
Buena Vista City,2024,1,0,0,1,0,0,NA,NA,NA
Buena Vista City,2045,1,0,0,1,0,0,NA,NA,NA
Campbell County,2024,1,0,0,1,0,0,NA,NA,NA
Campbell County,2045,1,0,0,1,0,0,NA,NA,NA
Caroline County,2024,1,0,0,1,0,0,NA,NA,NA
Caroline County,2045,1,0,0,1,0,0,NA,NA,NA
Carroll County,2024,1,0,0,1,0,0,NA,NA,NA
Carroll County,2045,1,0,0,1,0,0,NA,NA,NA
Charles City County,2024,1,0,0,1,0,0,NA,NA,NA
Charles City County,2045,1,0,0,1,0,0,NA,NA,NA
Charlotte County,2024,1,0,0,1,0,0,NA,NA,NA
Charlotte County,2045,1,0,0,1,0,0,NA,NA,NA
Charlottesville City,2024,1,0,0,0.696969697,0.303030303,0,NA,NA,NA
Charlottesville City,2045,1,0,0,0.696969697,0.303030303,0,NA,NA,NA
Chesapeake City,2024,1,0,0,1,0,0,NA,NA,NA
Chesapeake City,2045,1,0,0,1,0,0,NA,NA,NA
Chesterfield County,2024,1,0,0,1,0,0,NA,NA,NA
Chesterfield County,2045,1,0,0,1,0,0,NA,NA,NA
Clarke County,2024,1,0,0,1,0,0,NA,NA,NA
Clarke County,2045,1,0,0,1,0,0,NA,NA,NA
Colonial Heights City,2024,1,0,0,1,0,0,NA,NA,NA
Colonial Heights City,2045,1,0,0,1,0,0,NA,NA,NA
Covington City,2024,1,0,0,1,0,0,NA,NA,NA
Covington City,2045,1,0,0,1,0,0,NA,NA,NA
Craig County,2024,1,0,0,1,0,0,NA,NA,NA
Craig County,2045,1,0,0,1,0,0,NA,NA,NA
Culpeper County,2024,1,0,0,1,0,0,NA,NA,NA
Culpeper County,2045,1,0,0,1,0,0,NA,NA,NA
Cumberland County,2024,1,0,0,1,0,0,NA,NA,NA
Cumberland County,2045,1,0,0,1,0,0,NA,NA,NA
Danville City,2024,1,0,0,1,0,0,NA,NA,NA
Danville City,2045,1,0,0,1,0,0,NA,NA,NA
Dickenson County,2024,1,0,0,1,0,0,NA,NA,NA
Dickenson County,2045,1,0,0,1,0,0,NA,NA,NA
Dinwiddie County,2024,1,0,0,1,0,0,NA,NA,NA
Dinwiddie County,2045,1,0,0,1,0,0,NA,NA,NA
Emporia City,2024,1,0,0,1,0,0,NA,NA,NA
Emporia City,2045,1,0,0,1,0,0,NA,NA,NA
Essex County,2024,1,0,0,1,0,0,NA,NA,NA
Essex County,2045,1,0,0,1,0,0,NA,NA,NA
Fairfax City,2024,1,0,0,0.969945355,0.030054645,0,NA,NA,NA
