Geo,Year,DRRevMi,VPRevMi,MBRevMi,RBRevMi,MGRevMi,SRRevMi,HRRevMi,CRRevMi
Accomack County,2024,56325,0,484117,0,0,0,0,0
Albemarle County,2024,0,0,0,0,0,0,0,0
Alexandria City,2024,1286676,0,5033936,0,0,0,3558017,21138
Alleghany County,2024,0,0,0,0,0,0,0,0
Amelia County,2024,0,0,0,0,0,0,0,0
Amherst County,2024,0,0,0,0,0,0,0,0
Appomattox County,2024,0,0,0,0,0,0,0,0
Arlington County,2024,2061491,0,5372168,0,0,0,6399120,30926
Augusta County,2024,0,0,0,0,0,0,0,0
Bath County,2024,0,0,0,0,0,0,0,0
Bedford County,2024,0,0,0,0,0,0,0,0
Bland County,2024,0,0,0,0,0,0,0,0
Botetourt County,2024,0,0,0,0,0,0,0,0
Bristol City,2024,3930,0,130503,0,0,0,0,0
Brunswick County,2024,0,0,0,0,0,0,0,0
Buchanan County,2024,0,0,0,0,0,0,0,0
Buckingham County,2024,0,0,0,0,0,0,0,0
Buena Vista City,2024,0,0,0,0,0,0,0,0
Campbell County,2024,0,0,48483,0,0,0,0,0
Caroline County,2024,0,0,0,0,0,0,0,0
Carroll County,2024,0,0,0,0,0,0,0,0
Charles City County,2024,0,0,0,0,0,0,0,0
Charlotte County,2024,0,0,0,0,0,0,0,0
Charlottesville City,2024,1433278,0,1043793,0,0,0,0,0
Chesapeake City,2024,0,0,0,0,0,0,0,0
Chesterfield County,2024,0,0,0,0,0,0,0,0
Clarke County,2024,0,0,0,0,0,0,0,0
Colonial Heights City,2024,0,0,0,0,0,0,0,0
Covington City,2024,0,0,0,0,0,0,0,0
Craig County,2024,0,0,0,0,0,0,0,0
Culpeper County,2024,0,0,0,0,0,0,0,0
Cumberland County,2024,0,0,0,0,0,0,0,0
Danville City,2024,248940,0,268809,0,0,0,0,0
Dickenson County,2024,0,0,0,0,0,0,0,0
Dinwiddie County,2024,0,0,0,0,0,0,0,0
Emporia City,2024,0,0,57550,0,0,0,0,0
Essex County,2024,0,0,0,0,0,0,0,0
